event_name,checkpoint_t,threshold,source,mode,run_kind,segment_index,status,run_reached_checkpoint,last_validated_time,comparison_status,t_lo,t_hi,h,final_segment_width_sum,tube_prefix_width_sum,flowstar_segment_width_sum,time_aligned_flowstar_segment_width,time_aligned_final_width_ratio,time_aligned_flowstar_tube_prefix_width,time_aligned_tube_ratio,target_margin_min,immediate_same_state_saving,cumulative_downstream_saving,missing_flowstar_component_fields,notes
t_5,5,,flowstar,generated_flowstar_h10_reference,reference,148,accepted,true,10,time_aligned,4.9698279999999997,5.0335789999999996,0.063750999999999891,0.18597819999999987,9.2616030000000009,0.18597819999999987,0.18597819999999987,1,9.2616030000000009,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,constant_adaptive_h10,constant adaptive,180,accepted,true,5.904686584519073,time_aligned,4.9916601906157689,5.0126918454460547,0.0210316548302855,0.51363180274725173,9.3638214692448969,0.18597819999999987,0.18597819999999987,2.7617849981731841,9.2616030000000009,1.0110368009992325,5.7594075738874012e-05,0.037176500570124178,,,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,169,accepted,true,6.0490383280541096,time_aligned,4.9787985106953521,5.0082843775514059,0.029485866856053689,0.46734018538777933,9.3493834878142046,0.18597819999999987,0.18597819999999987,2.5128761617640114,9.2616030000000009,1.009477893601594,3.487565389504207e-05,7.4069018928580129e-06,,,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,range_midpoint_on_constant_schedule,range_midpoint on constant schedule,180,accepted,true,5.904686584519073,time_aligned,4.9916601906157689,5.0126918454460547,0.0210316548302855,0.44730187930233922,9.3438417549971824,0.18597819999999987,0.18597819999999987,2.4051307051167261,9.2616030000000009,1.0088795379155402,6.6104627061547438e-05,1.1453298149090662e-05,0.13603617937881723,,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
first_h_sequence_divergence,0.43677646366378969,,flowstar,generated_flowstar_h10_reference,reference,28,accepted,true,10,time_aligned,0.41424369999999999,0.43677650000000001,0.022532800000000019,0.77074450000000017,2.9918139000000004,0.77074450000000017,0.77074450000000017,1,2.9918139000000004,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,constant_adaptive_h10,constant adaptive,28,accepted,true,5.904686584519073,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.82403352058588819,3.0256663349906683,0.77074450000000017,0.77074450000000017,1.0691396702615303,2.9918139000000004,1.0113150202927621,9.8122808151005907e-06,0.019459291179831022,,,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,28,accepted,true,6.0490383280541096,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.81194844107826269,3.0149861985763193,0.77074450000000017,0.77074450000000017,1.0534599222936558,2.9918139000000004,1.0077452339453061,1.1837982345360522e-05,0.0020946325502749722,,,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,range_midpoint_on_constant_schedule,range_midpoint on constant schedule,28,accepted,true,5.904686584519073,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.81194844107826269,3.0149861985763193,0.77074450000000017,0.77074450000000017,1.0534599222936558,2.9918139000000004,1.0077452339453061,1.1837982345360522e-05,0.0020946325502749722,0.019490591073573246,,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,constant_on_range_midpoint_schedule,constant on range_midpoint schedule,28,accepted,true,0.43677646366378969,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.82403352058588819,3.0256663349906683,0.77074450000000017,0.77074450000000017,1.0691396702615303,2.9918139000000004,1.0113150202927621,9.8122808151005907e-06,0.019459291179831022,-0.019878025540737813,,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,flowstar,generated_flowstar_h10_reference,reference,54,accepted,true,10,time_aligned,1.1786939999999999,1.2122630000000001,0.033569000000000182,0.1925017,4.0224082000000001,0.1925017,0.1925017,1,4.0224082000000001,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,torch,constant_adaptive_h10,constant adaptive,56,accepted,true,5.904686584519073,time_aligned,1.1732493698206858,1.2138675449609997,0.040618175140313836,0.21601580721770652,4.0427843769005607,0.1925017,0.1925017,1.1221501275973487,4.0224082000000001,1.005065666110307,5.359739620525557e-05,0.091268958298665534,,,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,53,accepted,true,6.0490383280541096,time_aligned,1.1300531783465306,1.1910872506835912,0.061034072337060589,0.24564733518684384,4.0323700420342572,0.1925017,0.1925017,1.2760787836514891,4.0224082000000001,1.0024765865468992,2.348822293214421e-08,0.00071860728411543497,,,diagnostic checkpoint containing physical time; no interpolation
