stage,source_callsite,input_shapes,aten_to_count,percent_of_total_aten_to
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",6552,68.96842105263158
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[84],[],[],[],[]]",780,8.210526315789474
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",576,6.063157894736842
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1938:interval_monomial_bounds,"[[48,6],[],[],[],[],[]]",130,1.368421052631579
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[840],[],[],[],[]]",78,0.8210526315789474
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[6601],[],[],[],[]]",78,0.8210526315789474
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",60,0.631578947368421
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",60,0.631578947368421
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",60,0.631578947368421
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:485:_power_interval_bounds,"[[48],[],[],[],[]]",48,0.5052631578947369
