solver,grid_ix,grid_iy,initial_x,initial_y,time,component,value,flowstar_lo,flowstar_hi,contained,signed_slack
scipy_solve_ivp_DOP853,0,0,1.1000000000000001,2.3500000000000001,3.9700000000000002,x,-2.0059226656761955,-2.0120453511878109,-2.0034332393764056,True,0.0024894262997898764
scipy_solve_ivp_DOP853,0,0,1.1000000000000001,2.3500000000000001,3.9700000000000002,y,0.012491344555096272,-0.073363797734292177,0.050730988741166307,True,0.038239644186070038
scipy_solve_ivp_DOP853,0,0,1.1000000000000001,2.3500000000000001,4.7400000000000002,x,-1.6767374601780312,-1.7070195623009676,-1.6660536401302644,True,0.010683820047766801
scipy_solve_ivp_DOP853,0,0,1.1000000000000001,2.3500000000000001,4.7400000000000002,y,0.67025938048969724,0.65115524795128565,0.6774278488867459,True,0.0071684683970486551
scipy_solve_ivp_DOP853,0,0,1.1000000000000001,2.3500000000000001,6.3200000000000003,x,0.44180483197247067,0.32935059414903739,0.48242614977279946,True,0.040621317800328793
scipy_solve_ivp_DOP853,0,0,1.1000000000000001,2.3500000000000001,6.3200000000000003,y,2.5453977773704994,2.46007918255104,2.5823748105380391,True,0.036977033167539641
scipy_solve_ivp_DOP853,0,1,1.1000000000000001,2.3625000000000003,3.9700000000000002,x,-2.0061231376855129,-2.0120453511878109,-2.0034332393764056,True,0.0026898983091072637
scipy_solve_ivp_DOP853,0,1,1.1000000000000001,2.3625000000000003,3.9700000000000002,y,0.0033831158689871885,-0.073363797734292177,0.050730988741166307,True,0.04734787287217912
scipy_solve_ivp_DOP853,0,1,1.1000000000000001,2.3625000000000003,4.7400000000000002,x,-1.6799868578485959,-1.7070195623009676,-1.6660536401302644,True,0.013933217718331559
scipy_solve_ivp_DOP853,0,1,1.1000000000000001,2.3625000000000003,4.7400000000000002,y,0.6680815496959791,0.65115524795128565,0.6774278488867459,True,0.0093462991907667936
scipy_solve_ivp_DOP853,0,1,1.1000000000000001,2.3625000000000003,6.3200000000000003,x,0.42956838296995864,0.32935059414903739,0.48242614977279946,True,0.052857766802840822
scipy_solve_ivp_DOP853,0,1,1.1000000000000001,2.3625000000000003,6.3200000000000003,y,2.5375973842247364,2.46007918255104,2.5823748105380391,True,0.044777426313302726
scipy_solve_ivp_DOP853,0,2,1.1000000000000001,2.375,3.9700000000000002,x,-2.0062779438837355,-2.0120453511878109,-2.0034332393764056,True,0.002844704507329876
scipy_solve_ivp_DOP853,0,2,1.1000000000000001,2.375,3.9700000000000002,y,-0.0058490777271959348,-0.073363797734292177,0.050730988741166307,True,0.056580066468362243
scipy_solve_ivp_DOP853,0,2,1.1000000000000001,2.375,4.7400000000000002,x,-1.683220607729661,-1.7070195623009676,-1.6660536401302644,True,0.017166967599396621
scipy_solve_ivp_DOP853,0,2,1.1000000000000001,2.375,4.7400000000000002,y,0.66590686365177609,0.65115524795128565,0.6774278488867459,True,0.011520985234969805
scipy_solve_ivp_DOP853,0,2,1.1000000000000001,2.375,6.3200000000000003,x,0.41738795450166044,0.32935059414903739,0.48242614977279946,True,0.065038195271139021
scipy_solve_ivp_DOP853,0,2,1.1000000000000001,2.375,6.3200000000000003,y,2.5296524491735526,2.46007918255104,2.5823748105380391,True,0.052722361364486492
