file,line,caller,callee,purpose
src/torch_tm_flowpipe/batched_dense_tm.py,2235,BatchedPolynomial.substitute_const_and_drop_with_roundoff,substitute_const_and_drop,点系数路径，其误差由同一调用者独立包住
src/torch_tm_flowpipe/batched_dense_tm.py,2659,BatchedTaylorModel.endpoint,substitute_const_and_drop_with_roundoff,保证接口的内部调用
src/torch_tm_flowpipe/batched_dense_tm.py,4997,dense_picard_validate_step,endpoint,验证器内部使用
src/torch_tm_flowpipe/brusselator_canonical_exchange.py,348,build_exchange_records,substitute_const,对外发布端点的只读证据导出
src/torch_tm_flowpipe/flowpipe.py,4057,_final_range_boxes,substitute_const,仅诊断
src/torch_tm_flowpipe/flowpipe.py,6139,_flowpipe_step_from_tm_hybrid_dense,substitute_const_with_roundoff,对外发布端点；normal左/右映射下一步输入
src/torch_tm_flowpipe/flowpipe.py,6484,flowpipe_step_from_tm,substitute_const_with_roundoff,对外发布端点；normal左/右映射下一步输入
src/torch_tm_flowpipe/flowpipe.py,6515,flowpipe_step_from_tm,substitute_const,对外发布端点；normal左/右映射下一步输入
src/torch_tm_flowpipe/flowpipe.py,6520,flowpipe_step_from_tm,substitute_const_with_roundoff,对外发布端点；normal左/右映射下一步输入
src/torch_tm_flowpipe/polynomial.py,419,Polynomial.substitute_const_with_roundoff,substitute_const,点系数路径，其误差由同一调用者独立包住
src/torch_tm_flowpipe/taylor_model.py,323,TaylorModel.substitute_const,substitute_const_with_roundoff,保证接口的内部调用
src/torch_tm_flowpipe/taylor_model.py,330,TaylorModel.substitute_const_with_roundoff,substitute_const_with_roundoff,保证接口的内部调用
src/torch_tm_flowpipe/tm_vector.py,67,TMVector.substitute_const,substitute_const,保证接口的内部调用
src/torch_tm_flowpipe/tm_vector.py,70,TMVector.substitute_const_with_roundoff,substitute_const_with_roundoff,保证接口的内部调用
