formal_lane,segment_index,physical_time,state,width_mean,width_median,width_p05,width_p95,width_maximum,width_minimum,center_mean,center_median,center_p05,center_p95,center_maximum,center_minimum,center_maximum_absolute
baseline_native_k2,1,0.1,x1,0.0001393576455696797,0.0001393609167110531,0.00013204685423257755,0.00014666532744013353,0.0001473365258223766,0.00013136281983569208,6.495942992716697e-05,6.49600192029678e-05,6.138974894877757e-05,6.852805835064539e-05,6.885861786316822e-05,6.105666196787837e-05,6.885861786316822e-05
baseline_native_k2,1,0.1,x2,0.00014637406933699194,0.00014640417733801942,0.00013827316221765585,0.00015448459362517135,0.0001548207687745419,0.00013778218819338875,4.9281736103802e-05,4.928145071776298e-05,4.529943190961933e-05,5.3266316718621816e-05,5.38780719690703e-05,4.475527573712732e-05,5.38780719690703e-05
baseline_native_k2,1,0.1,x3,4.761957035484901e-05,4.313310653181849e-05,3.477381055852707e-05,7.450301642821103e-05,9.269679530696863e-05,3.246884741934042e-05,7.404479680581342e-19,0.0,-4.441840775401551e-18,4.4440430610644125e-18,4.445228907190568e-18,-4.441840775401551e-18,4.445228907190568e-18
baseline_native_k2,1,0.1,x4,0.0009523913617054867,0.0008626620852448721,0.0006954761657790608,0.001490060283172709,0.001853935860747842,0.0006493769029953381,1.480613591800517e-17,0.0,-8.879615792656281e-17,8.885036803518709e-17,8.890457814381136e-17,-8.885036803518709e-17,8.890457814381136e-17
baseline_native_k2,1,0.1,u1,0.009523913596652887,0.00862662083204808,0.006954761637390036,0.014900602811318374,0.018539358587065718,0.006493769009552807,1.4804780665289563e-16,0.0,-8.881784197001252e-16,8.881784197001252e-16,8.890457814381136e-16,-8.881784197001252e-16,8.890457814381136e-16
baseline_native_k2,2,0.2,x1,0.00030438912418415484,0.00030439460708623375,0.0002893078226273154,0.0003194525387426776,0.0003218672616929343,0.00028683543694119046,0.00013940683107085722,0.00013940663555998784,0.00013216531695793026,0.0001466444857267357,0.00014783038520737422,0.00013097021446625915,0.00014783038520737422
baseline_native_k2,2,0.2,x2,0.00030236543368526226,0.0003025129483986877,0.00028612226549022115,0.00031871050175030606,0.0003192047456076029,0.00028464405161949174,8.721725801921132e-05,8.720408671950819e-05,7.934293718924751e-05,9.513850667154392e-05,9.695372982791455e-05,7.761955713761171e-05,9.695372982791455e-05
baseline_native_k2,2,0.2,x3,0.00019047827902418806,0.00017253242373200836,0.00013909523983886453,0.0002980120633177569,0.00037078717883282054,0.00012987538728216388,2.9615095279167855e-18,0.0,-1.7767363101606204e-17,1.777617224425765e-17,1.7780915628762273e-17,-1.7780915628762273e-17,1.7780915628762273e-17
baseline_native_k2,2,0.2,x4,0.0019047827257398428,0.0017253241728182457,0.0013909523338864187,0.0029801205686747446,0.0037078717238253935,0.0012987538083197477,2.9607754326958315e-17,0.0,-1.776627889943372e-16,1.7770073607037418e-16,1.7780915628762273e-16,-1.7780915628762273e-16,1.7780915628762273e-16
baseline_native_k2,2,0.2,u1,0.009523913600977122,0.008626620836370884,0.006954761641708706,0.014900602815642375,0.018539358591392732,0.006493769013878915,1.4804780665289563e-16,0.0,-8.881784197001252e-16,8.881784197001252e-16,8.890457814381136e-16,-8.881784197001252e-16,8.890457814381136e-16
baseline_native_k2,3,0.30000000000000004,x1,0.0004927157423767556,0.0004927109163786608,0.00046952542719893144,0.0005158341528245536,0.0005210270896769875,0.00046413633555929447,0.00022122930237714134,0.00022122481940256886,0.00021032259236880864,0.0002321274643086169,0.000234676502648369,0.0002077534230997922,0.000234676502648369
baseline_native_k2,3,0.30000000000000004,x2,0.0004641874087519513,0.0004646271029749584,0.0004399989906050064,0.0004887433182846128,0.0004891978211982998,0.0004364983494434357,0.00011035975827388236,0.00011034010091400119,9.836212194127456e-05,0.00012242756584525762,0.00012562994050018008,9.529573612668173e-05,0.00012562994050018008
