formal_lane,segment_index,physical_time,state,width_mean,width_median,width_p05,width_p95,width_maximum,width_minimum,center_mean,center_median,center_p05,center_p95,center_maximum,center_minimum,center_maximum_absolute
baseline_native_k2,1,0.1,x1,0.014290492947911867,0.014290496219053317,0.014283182156574281,0.01429780062978297,0.01429847182816657,0.014282498122175635,0.5817604547760674,0.5817604547408094,0.5379793315277056,0.6255415783077013,0.6294485196629158,0.5340723986149258,0.6294485196629158
baseline_native_k2,1,0.1,x2,0.018979764663498766,0.018979794771499692,0.01897166375637909,0.018987875187787412,0.0189882113629386,0.018971172782352608,-0.7147530676662618,-0.7147530535827109,-0.7576459645574,-0.6718601959470604,-0.668930731551227,-0.7605754895374028,0.7605754895374028
baseline_native_k2,1,0.1,x3,0.10878243936816938,0.1087809482401253,0.10875707984077376,0.10881001052152843,0.10882470328496749,0.10874217988486076,-0.2948783257323692,-0.29488422446603596,-0.2951302883275252,-0.29460363549175195,-0.29451789553834273,-0.29519434782287907,0.29519434782287907
baseline_native_k2,1,0.1,x4,0.08870962258014962,0.08859249872099212,0.08797773310211524,0.08978163841888884,0.09024871290571768,0.08775623437497815,0.5524334853526193,0.5523155106792845,0.5473942334495002,0.5579272901649651,0.5596420892331502,0.5461130435424222,0.5596420892331502
baseline_native_k2,1,0.1,u1,0.30624366573652,0.3062783669129141,0.3009990501465475,0.310793543344652,0.31123684399662643,0.3000193852768991,10.024334853526197,10.023155106792847,9.973942334495003,10.079272901649654,10.096420892331505,9.961130435424224,10.096420892331505
baseline_native_k2,2,0.2,x1,0.016069699963721696,0.016069706168001047,0.016054611833349414,0.016084764949908174,0.016087184650948494,0.016052132467949842,0.507428607638818,0.5074285999386339,0.4640527596936804,0.5508044582407149,0.5585795418557917,0.4562777546016394,0.5585795418557917
baseline_native_k2,2,0.2,x2,0.021197111414362545,0.021197246703457073,0.021180750356791657,0.021213678098906303,0.02121429163296107,0.021178812464459962,-0.7718492635199908,-0.7718491771905772,-0.8155413986981999,-0.7281572825791524,-0.7223305617245703,-0.8213684897031255,0.8213684897031255
baseline_native_k2,2,0.2,x3,0.11512975747021992,0.11512379295804352,0.1150283193606375,0.11524004208365628,0.11529881313741269,0.1149687195369854,-0.23951330292947634,-0.2395368978641433,-0.24052115331010013,-0.23841454196700718,-0.23807158215337013,-0.2407773912915158,0.2407773912915158
baseline_native_k2,2,0.2,x4,0.07741924516259416,0.07718499744427904,0.07595546620652477,0.07956327684007308,0.0804974258137312,0.07551246875225037,0.5548669707052382,0.5546310213585687,0.5447884668990003,0.5658545803299301,0.5692841784663001,0.542226087084844,0.5692841784663001
baseline_native_k2,2,0.2,u1,0.3062436657408442,0.30627836691723775,0.30099905015086525,0.31079354334898046,0.3112368440009572,0.3000193852812192,10.024334853526197,10.023155106792847,9.973942334495003,10.079272901649654,10.096420892331505,9.961130435424224,10.096420892331505
baseline_native_k2,3,0.30000000000000004,x1,0.01782675166999285,0.017826744324753396,0.01780349893915116,0.01784988487651955,0.01785512133379119,0.017798048317906656,0.427799179407445,0.4277991463951194,0.38427260044500317,0.47132587604430565,0.48190430571994436,0.37369440093085404,0.48190430571994436
baseline_native_k2,3,0.30000000000000004,x2,0.023268670705998955,0.023269059488257637,0.02324408152158856,0.023294046516232812,0.0232948841400189,0.023238690804808004,-0.8207083577224971,-0.8207083838629667,-0.8647656736079631,-0.776651536855025,-0.7679917390998101,-0.8734266550262914,0.8734266550262914
baseline_native_k2,3,0.30000000000000004,x3,0.11904195430428977,0.11902853415189286,0.11881371855772929,0.11929009468452201,0.11942232955547391,0.1186796189545122,-0.18390493159132157,-0.18395802019432222,-0.18617259494772515,-0.18143271942576594,-0.18066105984508263,-0.1867491304059103,0.1867491304059103
baseline_native_k2,3,0.30000000000000004,x4,0.06612886774545983,0.06577749616798689,0.06393319931135534,0.0693449152616793,0.07074613872216762,0.06326870312994326,0.557300456057857,0.5569465320378528,0.5421827003485,0.5737818704948949,0.57892626769945,0.5383391306272658,0.57892626769945
baseline_native_k2,3,0.30000000000000004,u1,0.3062436657451686,0.3062783669215614,0.30099905015518535,0.31079354335330994,0.31123684400528795,0.30001938528553573,10.024334853526197,10.023155106792847,9.973942334495003,10.079272901649654,10.096420892331505,9.961130435424224,10.096420892331505
baseline_native_k2,4,0.4,x1,0.019549775554500635,0.01954976531499994,0.019517509797989413,0.019581551353003674,0.01959031963077479,0.019508239645441072,0.3437206765278078,0.3437205830014185,0.2992244452597094,0.38821743397860436,0.4002436387782923,0.28719874204654355,0.4002436387782923
baseline_native_k2,4,0.4,x2,0.025146963272465604,0.025147440754741845,0.025113179334179215,0.025181757912177333,0.025182592791751057,0.025102435792078492,-0.860834357259375,-0.8608349811193371,-0.9048200799804966,-0.8168497905662566,-0.8054524919128032,-0.9162201352443358,0.9162201352443358
baseline_native_k2,4,0.4,x3,0.12051902987041885,0.12049517182171318,0.12011327743208901,0.12096016832416559,0.12119525253919157,0.11987487813748084,-0.12805321171790487,-0.12814759145657273,-0.13208461324040016,-0.12365816786802818,-0.12228632861348014,-0.13310956516606268,0.13310956516606268
baseline_native_k2,4,0.4,x4,0.0548384903287466,0.05436999489211519,0.05191093241660634,0.05912655368370789,0.06099485163102725,0.051024937508056256,0.5597339414104762,0.5592620427171371,0.539576933798,0.5817091606598599,0.5885683569325999,0.5344521741696875,0.5885683569325999
baseline_native_k2,4,0.4,u1,0.3062436657494928,0.30627836692588506,0.30099905015950545,0.3107935433576384,0.31123684400961515,0.3000193852898523,10.024334853526197,10.023155106792847,9.973942334495003,10.079272901649654,10.096420892331505,9.961130435424224,10.096420892331505
baseline_native_k2,5,0.5,x1,0.021224758056579498,0.02122599722924029,0.021181930351216387,0.021266408081729173,0.021278665298443522,0.021168481116518395,0.2560867716203527,0.2560864488702781,0.21043073090899947,0.30174405487309197,0.3144696221837548,0.197706348157621,0.3144696221837548
baseline_native_k2,5,0.5,x2,0.026785543348919735,0.026784846004968943,0.026739558139169794,0.026830386201144862,0.02683121470266059,0.026722777459317393,-0.8918199639670613,-0.8918152134565589,-0.936433486808999,-0.8472108196330483,-0.8343344341294501,-0.9493130714223142,0.9493130714223142
baseline_native_k2,5,0.5,x3,0.11956098416864673,0.11952370596754394,0.11892699598375617,0.12025026300262677,0.1206175820886054,0.11855449708593091,-0.07195814330922634,-0.0721056116508948,-0.07825720818812515,-0.06509088729379396,-0.06294738845856263,-0.07985869557197287,0.07985869557197287
baseline_native_k2,5,0.5,x4,0.05312183289005154,0.05313918347825297,0.050499525095059436,0.055396771694117344,0.05561842202010692,0.05000969266023192,0.5621674267630952,0.5615775533964212,0.5369711672474999,0.5896364508248247,0.5982104461657498,0.5305652177121093,0.5982104461657498
baseline_native_k2,5,0.5,u1,0.3062436657538172,0.3062783669302105,0.300999050163822,0.3107935433619679,0.3112368440139459,0.3000193852941724,10.024334853526197,10.023155106792847,9.973942334495003,10.079272901649654,10.096420892331505,9.961130435424224,10.096420892331505
baseline_native_k2,6,0.6000000000000001,x1,0.02283578873796971,0.0228370708254462,0.022780762497040336,0.022888637142967485,0.02290410328333989,0.02276260515352188,0.16582722870178093,0.16582657262625705,0.11946042049280492,0.21219656263617215,0.22549672591764885,0.10616266532794054,0.22549672591764885
baseline_native_k2,6,0.6000000000000001,x2,0.028140150456391334,0.028141205172270867,0.028077316533715313,0.028194926963813084,0.028196269564718546,0.028054723598548104,-0.9133506858238643,-0.9133459720383388,-0.9584950191762085,-0.868215362479515,-0.8543463440522325,-0.9723680266672694,0.9723680266672694
baseline_native_k2,6,0.6000000000000001,x3,0.11616781719901399,0.11611413658942576,0.11525487421277163,0.11716037871994583,0.11768931820375556,0.11471847579990296,-0.015619726365285863,-0.015832080777288437,-0.02469037979090014,-0.005730877703063217,-0.002644239380330142,-0.0269965216236408,0.0269965216236408
baseline_native_k2,6,0.6000000000000001,x4,0.08374619946971142,0.08376702017555235,0.08059943011571688,0.08647612603459501,0.08674210642578284,0.08001163119392363,0.564600912115714,0.5638930640757055,0.5343654006969999,0.5975637409897896,0.6078525353988997,0.5266782612545311,0.6078525353988997
baseline_native_k2,6,0.6000000000000001,u1,0.306243665758141,0.30627836693453414,0.3009990501681421,0.3107935433662964,0.3112368440182731,0.3000193852984889,10.024334853526197,10.023155106792847,9.973942334495003,10.079272901649654,10.096420892331505,9.961130435424224,10.096420892331505
baseline_native_k2,7,0.7000000000000001,x1,0.024365441539184077,0.024367136350174158,0.024296233241843695,0.02443067699552585,0.024449092853729246,0.024272818786708797,0.07389846314509109,0.07389726540497003,0.027216010845515178,0.12058530922939648,0.13427250105943794,0.013533433857677694,0.13427250105943794
baseline_native_k2,7,0.7000000000000001,x2,0.0291697549992669,0.029172467338412222,0.029088747007573183,0.029234428424992374,0.02923658747494673,0.029056547560698864,-0.9252080269980718,-0.9252006124857247,-0.9712394391804144,-0.8791907998083129,-0.8652870771253385,-0.9851494395840894,0.9851494395840894
baseline_native_k2,7,0.7000000000000001,x3,0.11033952896156927,0.1102664636874074,0.10909691211918385,0.11169051547617015,0.11241046088468926,0.10836681427944506,0.040962039113916514,0.04067300116424634,0.02861587195127486,0.054421860904164,0.05862311862121734,0.025476956678933405,0.05862311862121734
