formal_lane,segment_index,physical_time,state,margin_mean,margin_median,margin_p05,margin_p95,margin_maximum,margin_minimum
baseline_native_k2,1,0.1,x1,1.3426103498462367,1.3426103473041864,1.2988585213206487,1.3863621784723545,1.3863751944715093,1.2988455167737278
baseline_native_k2,1,0.1,x2,1.2720492311077538,1.272049220644805,1.22894421231597,1.3151542549213218,1.318091844223475,1.2260066619192058
baseline_native_k2,1,0.1,x3,1.5942128045974728,1.594229348639808,1.5941028839960938,1.5942475023734306,1.5942499515356048,1.5940331079896446
baseline_native_k2,1,0.1,x4,1.38182260661988,1.3824423629530616,1.3766226468179847,1.3847520724017004,1.384833086000452,1.3749512629038398
baseline_native_k2,2,0.2,x1,1.409806835352943,1.4098068364588086,1.3660228403759922,1.4535908201245629,1.4574816496149037,1.3621319068055926
baseline_native_k2,2,0.2,x2,1.2133546323906046,1.2133545417205016,1.1694436962390842,1.2572657135816852,1.2631195650579872,1.163589901482446
baseline_native_k2,2,0.2,x3,1.645507778050953,1.6455354224344285,1.6450783634493462,1.6458292712976255,1.6459252886672853,1.6449139728779376
baseline_native_k2,2,0.2,x4,1.3850343099760387,1.3858089106381088,1.3747064901008148,1.3923686198070315,1.3933117162770836,1.3714310564820538
baseline_native_k2,3,0.30000000000000004,x1,1.4831123024821309,1.4831123426336426,1.4397300790053538,1.5264944777362681,1.5342504884017927,1.4319737287196603
baseline_native_k2,3,0.30000000000000004,x2,1.1630043197728013,1.1630042036830264,1.1187232919679504,1.2072856139776493,1.2159914863372139,1.1100174499315378
baseline_native_k2,3,0.30000000000000004,x3,1.698263660673686,1.6982915970274988,1.6969849204609275,1.6994323679610035,1.6997877752938226,1.696581438837665
baseline_native_k2,3,0.30000000000000004,x4,1.3882460133319867,1.3891754583229456,1.3727903333834348,1.400073793118436,1.4020743162804437,1.3679108500600576
baseline_native_k2,4,0.4,x1,1.561739684856817,1.5617398040101045,1.5182129896972665,1.6052659075538538,1.6158332268391646,1.5076450303539108
baseline_native_k2,4,0.4,x2,1.1215317082081617,1.1215311668556565,1.0773191841333938,1.165744945151912,1.17720747622861,1.0658565484559412
baseline_native_k2,4,0.4,x3,1.7524804524656512,1.752506417459656,1.7498225550308173,1.7550367868381098,1.7558171274852896,1.749035505868806
baseline_native_k2,4,0.4,x4,1.3914577166877244,1.392542006007572,1.3708741766658445,1.407778966429629,1.4108369162835923,1.364390643637851
baseline_native_k2,5,0.5,x1,1.6448491100803502,1.6448495262776182,1.600356155764805,1.6893405296934243,1.7013619381065685,1.5883335798995302
baseline_native_k2,5,0.5,x2,1.0893716506849829,1.08937195674765,1.0445206139524015,1.1342228577003377,1.1471735635907887,1.0315708659874556
baseline_native_k2,5,0.5,x3,1.8081581534268285,1.808179883730881,1.803591267158996,1.8126425279289244,1.8140133452416667,1.8022761739713415
baseline_native_k2,5,0.5,x4,1.3946694200432515,1.395908553691988,1.3689580199480436,1.415484139740611,1.4195995162865294,1.3608704372154343
baseline_native_k2,6,0.6000000000000001,x1,1.7315563761274333,1.7315572171179654,1.685899316616423,1.7772101984428872,1.7899303623791807,1.6731766828724575
baseline_native_k2,6,0.6000000000000001,x2,1.0668585260309815,1.066858579892485,1.0214651703846946,1.1122499295746584,1.1262007247450248,1.0075183012332618
baseline_native_k2,6,0.6000000000000001,x3,1.8648180775583187,1.8648499034745902,1.8580730767120242,1.8715189930004346,1.8736121632251765,1.8561401795084405
baseline_native_k2,6,0.6000000000000001,x4,1.3930942634097647,1.394654177710563,1.359735880900102,1.4210095117171881,1.4267294799211503,1.349707577415235
baseline_native_k2,7,0.7000000000000001,x1,1.8209418165110982,1.8209434141197103,1.7745682194693764,1.8673092883480686,1.8806028273186004,1.761269985253324
baseline_native_k2,7,0.7000000000000001,x2,1.0542342494232715,1.0542343007719712,1.0079422865574943,1.1005230179181125,1.114514386473887,0.9939573116595983
baseline_native_k2,7,0.7000000000000001,x3,1.8959478893064372,1.8965073225636164,1.882290275670903,1.9077348557696594,1.9089285275689454,1.8780103798028713
baseline_native_k2,7,0.7000000000000001,x4,1.3753485947670825,1.3770965406614049,1.3363585277158645,1.4082787247608843,1.4151655526500198,1.3246588403168533
baseline_native_k2,8,0.8,x1,1.9068863576381585,1.91092514057443,1.8653644533911602,1.9354966894924421,1.9402555573281848,1.8516768611374483
baseline_native_k2,8,0.8,x2,1.0516453761943438,1.0516411270278359,1.004927635428745,1.0983583878551597,1.1122500131309931,0.9910458114576612
baseline_native_k2,8,0.8,x3,1.8405373586846878,1.8412225929275965,1.8226556575251531,1.8559012777165875,1.8594505196008793,1.8170554162598755
baseline_native_k2,8,0.8,x4,1.3576029261241693,1.3595389036120156,1.3129811745313955,1.3955479378043494,1.4036016253786574,1.29961010321824
baseline_native_k2,9,0.9,x1,1.8740746534691535,1.8740850374672586,1.8278089295709061,1.9202827605293529,1.9342535465717137,1.8137777882506756
baseline_native_k2,9,0.9,x2,1.0559981207150673,1.056203800588499,1.0097188832865733,1.102695982036762,1.116526685993556,0.9959058369892981
baseline_native_k2,9,0.9,x3,1.7860693825585232,1.7869334069946974,1.7634369035600301,1.8055199305318128,1.8100240695935292,1.7563389004350725
baseline_native_k2,9,0.9,x4,1.3398572574810241,1.3419812665623947,1.2896038213466947,1.3828171508475826,1.392037698107063,1.274561366119395
baseline_native_k2,10,1.0,x1,1.7818542895565883,1.7818519974305516,1.7364262559644026,1.8272839833659518,1.8411249210270324,1.72259300218682
baseline_native_k2,10,1.0,x2,1.0638450627267932,1.063843387474707,1.0174136974057626,1.1102808465622163,1.1238728119452395,1.0038472588861955
baseline_native_k2,10,1.0,x3,1.7325756185309389,1.7336397647649007,1.704634013775514,1.7565908142153188,1.762161611948981,1.6958608323284403
baseline_native_k2,10,1.0,x4,1.3221115888376478,1.3244236295125427,1.266226468161762,1.3700863638905842,1.3804737708352368,1.2495126290203187
baseline_native_k2,11,1.1,x1,1.6919421690057381,1.6919404206333004,1.6470289922049575,1.7368581696213843,1.7496131363160101,1.634285429214918
