step,category,operation,calls
1,outside_boundary,aten.lift_fresh.default,568
1,outside_boundary,aten.clone.default,4814
1,outside_boundary,aten.view.default,768
1,outside_boundary,aten.isnan.default,202
1,outside_boundary,aten.any.default,547
1,outside_boundary,aten._local_scalar_dense.default,5526
1,outside_boundary,aten.gt.Tensor,245
1,outside_boundary,aten.eq.Scalar,196
1,outside_boundary,aten.all.default,2818
1,outside_boundary,aten.zeros_like.default,1442
1,outside_boundary,aten.add.Tensor,911
1,outside_boundary,aten.ne.Scalar,562
1,outside_boundary,aten.ones.default,148
1,outside_boundary,aten.mul.Tensor,6563
1,outside_boundary,aten.zeros.default,98
1,A,aten.lift_fresh.default,10
1,A,aten.sum.dim_IntList,1
1,A,aten.view.default,289
1,A,aten.empty.memory_format,6
1,A,aten.zeros.default,1
1,A,aten.empty_like.default,1
1,A,aten.select.int,34
1,A,aten.copy_.default,8
1,A,aten.stack.default,2
1,A,aten.clone.default,336
1,A,aten.le.Tensor,3
1,A,aten.all.default,553
1,A,aten._local_scalar_dense.default,638
1,outside_boundary,aten.slice.Tensor,4655
1,outside_boundary,aten.select.int,6000
1,outside_boundary,aten.allclose.default,156
1,outside_boundary,aten.full_like.default,4765
1,outside_boundary,aten.le.Tensor,2397
1,outside_boundary,aten.sub.Tensor,427
1,outside_boundary,aten.nextafter.default,4436
1,outside_boundary,aten.index_select.default,844
1,outside_boundary,aten.le.Scalar,296
1,outside_boundary,aten.index.Tensor,12
1,outside_boundary,aten.bitwise_not.default,10
1,outside_boundary,aten.cat.default,444
1,outside_boundary,aten.unique_dim.default,4
1,outside_boundary,aten.expand.default,77
1,outside_boundary,aten.scatter_add_.default,53
1,outside_boundary,aten.ones_like.default,378
1,outside_boundary,aten.max.default,360
1,outside_boundary,aten.detach.default,1514
1,outside_boundary,aten.abs.default,1937
1,outside_boundary,aten.minimum.default,345
1,outside_boundary,aten.maximum.default,445
1,outside_boundary,aten.ge.Scalar,467
1,outside_boundary,aten.bitwise_and.Tensor,482
1,outside_boundary,aten.pow.Tensor_Scalar,3054
1,outside_boundary,aten.stack.default,2582
1,outside_boundary,aten.min.dim,1989
1,outside_boundary,aten.max.dim,1991
1,outside_boundary,aten.where.self,1044
1,outside_boundary,aten.unsqueeze.default,382
1,outside_boundary,aten.sum.dim_IntList,470
1,outside_boundary,aten.eq.Tensor,569
1,outside_boundary,aten.arange.default,72
1,outside_boundary,aten.min.default,90
1,outside_boundary,aten.nonzero.default,96
1,outside_boundary,aten.lt.Tensor,144
1,outside_boundary,aten.unbind.int,720
1,outside_boundary,aten.ge.Tensor,154
1,outside_boundary,aten.all.dim,158
1,outside_boundary,aten.count_nonzero.default,144
