source,mode,segment_index,status,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,box_semantics,step_rejections,next_h,message
flowstar,generated_flowstar_h5_reference,0,validated,-0,0.012500000000000001,0.012500000000000001,1.1000000000000001,1.430625,2.301787,2.4500130000000002,0.33062499999999995,0.14822600000000019,0.47885100000000014,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,1,validated,0.012500000000000001,0.026249999999999999,0.013749999999999998,1.1292450000000001,1.463746,2.2469030000000001,2.429961,0.33450099999999994,0.18305799999999994,0.51755899999999988,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,2,validated,0.026249999999999999,0.041375000000000002,0.015125000000000003,1.1610990000000001,1.499379,2.1836760000000002,2.404982,0.33827999999999991,0.22130599999999978,0.55958599999999969,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,3,validated,0.041375000000000002,0.058012500000000002,0.0166375,1.195721,1.5375700000000001,2.1110380000000002,2.373974,0.34184900000000007,0.26293599999999984,0.60478499999999991,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,4,validated,0.058012500000000002,0.07631375,0.018301249999999998,1.2332179999999999,1.5782719999999999,2.027841,2.3356650000000001,0.34505399999999997,0.3078240000000001,0.65287800000000007,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,5,validated,0.07631375,0.096445130000000004,0.020131380000000004,1.273684,1.621383,1.9329879999999999,2.288548,0.34769899999999998,0.3555600000000001,0.70325900000000008,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,6,validated,0.096445130000000004,0.1075174,0.011072269999999995,1.317178,1.641972,1.8823479999999999,2.2308379999999999,0.32479400000000003,0.34848999999999997,0.67328399999999999,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,7,validated,0.1075174,0.11969689999999999,0.012179499999999996,1.3406089999999999,1.6662680000000001,1.8229709999999999,2.1966260000000002,0.32565900000000014,0.37365500000000029,0.69931400000000044,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,8,validated,0.11969689999999999,0.1330943,0.013397400000000004,1.3659539999999999,1.6921809999999999,1.756842,2.1570589999999998,0.32622700000000004,0.40021699999999982,0.72644399999999987,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,9,validated,0.1330943,0.1478315,0.014737200000000006,1.3932929999999999,1.719678,1.6833849999999999,2.1113080000000002,0.32638500000000015,0.42792300000000028,0.75430800000000042,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,10,validated,0.1478315,0.1640424,0.0162109,1.422682,1.7486820000000001,1.6020570000000001,2.0584530000000001,0.32600000000000007,0.45639600000000002,0.78239600000000009,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,11,validated,0.1640424,0.18187429999999999,0.017831899999999984,1.4541470000000001,1.779058,1.512402,1.9974940000000001,0.32491099999999995,0.48509200000000008,0.81000300000000003,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,12,validated,0.18187429999999999,0.19168189999999999,0.0098075999999999997,1.4876750000000001,1.791695,1.4671449999999999,1.9273009999999999,0.30401999999999996,0.46015600000000001,0.76417599999999997,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,13,validated,0.19168189999999999,0.20247029999999999,0.010788400000000004,1.505614,1.8085850000000001,1.413413,1.8874899999999999,0.3029710000000001,0.47407699999999986,0.77704799999999996,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,14,validated,0.20247029999999999,0.21433749999999999,0.011867199999999994,1.5249220000000001,1.826495,1.3537239999999999,1.8436950000000001,0.30157299999999987,0.48997100000000016,0.79154400000000003,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,15,validated,0.21433749999999999,0.22739139999999999,0.013053900000000007,1.5456399999999999,1.8453740000000001,1.2883439999999999,1.7948,0.29973400000000017,0.50645600000000002,0.80619000000000018,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,16,validated,0.22739139999999999,0.24175060000000001,0.014359200000000016,1.56779,1.8651450000000001,1.2171670000000001,1.7400659999999999,0.29735500000000004,0.52289899999999978,0.82025399999999982,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,17,validated,0.24175060000000001,0.25754589999999999,0.015795299999999984,1.591367,1.885694,1.139991,1.678893,0.29432700000000001,0.53890199999999999,0.833229,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
flowstar,generated_flowstar_h5_reference,18,validated,0.25754589999999999,0.27492060000000001,0.017374700000000021,1.616333,1.9068590000000001,1.0566679999999999,1.610679,0.29052600000000006,0.55401100000000003,0.84453700000000009,flowstar_gnuplot_segment_box,,,existing generated Flowstar GNUPLOT segment box; not an endpoint box; overlapping final segment is included when restricting the h10 artifact to h5
