run,group,repeat,plant,mode,data_origin,source_sha,purpose,setup_seconds,solve_seconds,export_seconds,whole_process_seconds,peak_rss_bytes,accepted,rejected,actual_h_sum
brusselator_early_pair1_reference,brusselator_early,1,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.007722703740000725,34.87327674822882,0.8760336493141949,37.92387578682974,460034048,20,0,28823037615171175/72057594037927936
brusselator_early_pair1_optimized,brusselator_early,1,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.007923305034637451,25.397950537502766,0.8623188771307468,28.41983034228906,460488704,20,0,28823037615171175/72057594037927936
brusselator_early_pair2_optimized,brusselator_early,2,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.0077223689295351505,25.95212019700557,0.8912807181477547,29.212419212795794,460136448,20,0,28823037615171175/72057594037927936
brusselator_early_pair2_reference,brusselator_early,2,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.008017015177756548,35.55365489330143,0.8837231951765716,38.61035936884582,459395072,20,0,28823037615171175/72057594037927936
brusselator_early_pair3_reference,brusselator_early,3,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.007689168211072683,34.52955664508045,0.862175312358886,37.550282882060856,459743232,20,0,28823037615171175/72057594037927936
brusselator_early_pair3_optimized,brusselator_early,3,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.0077673569321632385,25.653921260032803,0.8680814560502768,28.886832517106086,460468224,20,0,28823037615171175/72057594037927936
brusselator_middle_pair1_reference,brusselator_middle,1,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.04871205985546112,37.89178375015035,1.0932277124375105,41.20161612890661,460705792,20,0,28823037615171175/72057594037927936
brusselator_middle_pair1_optimized,brusselator_middle,1,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.047018982004374266,26.013534697704017,1.0526747065596282,29.258159808348864,462356480,20,0,28823037615171175/72057594037927936
brusselator_middle_pair2_optimized,brusselator_middle,2,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.04674921417608857,25.939720281865448,1.0474632089026272,29.331672824919224,461611008,20,0,28823037615171175/72057594037927936
brusselator_middle_pair2_reference,brusselator_middle,2,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.046987117268145084,36.706399792805314,1.0691052097827196,40.16272117011249,460787712,20,0,28823037615171175/72057594037927936
brusselator_middle_pair3_reference,brusselator_middle,3,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.04749090317636728,37.13208051864058,1.0504798758774996,40.36931746592745,460476416,20,0,28823037615171175/72057594037927936
