lane,segment,physical_time,formal,minimum_property_margin,maximum_endpoint_width,maximum_polynomial_range_width,maximum_interval_remainder_width
baseline_native_k2,1,0.1,True,1.2260066619192058,0.31123684399662643,0.30291921073148664,0.018539358587083662
baseline_native_k2,2,0.2,True,1.163589901482446,0.3112368440009572,0.30291921073148664,0.018539358591410676
baseline_native_k2,3,0.30000000000000004,True,1.1100174499315378,0.31123684400528795,0.30291921073148664,0.01853935859573769
baseline_native_k2,4,0.4,True,1.0658565484559412,0.31123684400961515,0.30291921073148664,0.018539358600064705
baseline_native_k2,5,0.5,True,1.0315708659874556,0.3112368440139459,0.30291921073148664,0.01853935860439172
baseline_native_k2,6,0.6000000000000001,True,1.0075183012332618,0.3112368440182731,0.30291921073148664,0.018539358608718734
baseline_native_k2,7,0.7000000000000001,True,0.9939573116595983,0.3112368440226039,0.30291921073148664,0.01853935861304575
baseline_native_k2,8,0.8,True,0.9910458114576612,0.3112368440269311,0.30291921073148664,0.018539358617372763
baseline_native_k2,9,0.9,True,0.9959058369892981,0.31123684403126184,0.30291921073148664,0.018539358621699774
baseline_native_k2,10,1.0,True,1.0038472588861955,0.3112368440355926,0.30291921073148664,0.018539358644108613
baseline_native_k2,11,1.1,True,1.0222197168867733,0.3943269908404936,0.3181256168477393,0.10596119553571384
baseline_native_k2,12,1.2000000000000002,True,1.0509805909576408,0.3943269908449061,0.3181256168477393,0.10596119554009872
baseline_native_k2,13,1.3,True,1.0896631264387995,0.39432699084931855,0.3181256168477393,0.1059611955444836
baseline_native_k2,14,1.4000000000000001,True,1.1377274669105957,0.394326990853731,0.3181256168477393,0.10596119554886847
baseline_native_k2,15,1.5,True,1.1946696084054143,0.3943269908581435,0.3181256168477393,0.10596119555325335
baseline_native_k2,16,1.6,True,1.2595258397359106,0.39432699086255596,0.3181256168477393,0.10596119555763822
baseline_native_k2,17,1.7000000000000002,True,1.2041247694690114,0.39432699086696843,0.3181256168477393,0.1059611955620231
baseline_native_k2,18,1.8,True,1.1492053383775107,0.3943269908713809,0.3181256168477393,0.10596119556640797
baseline_native_k2,19,1.9000000000000001,True,1.103076305932667,0.39432699087579337,0.3181256168477393,0.11390443468042798
baseline_native_k2,20,2.0,True,1.0661660950576777,0.39432699088020584,0.3181256168477393,0.12450055424209563
baseline_native_k2,21,2.1,True,1.0387996581781902,0.6286881048185418,0.3347968188895951,0.299067946724565
baseline_native_k2,22,2.2,True,1.0211946359127386,0.6286881048231887,0.3347968188895951,0.29906794672921205
baseline_native_k2,23,2.3000000000000003,True,1.0134257918613798,0.6286881048278357,0.3347968188895951,0.2990679467338591
baseline_native_k2,24,2.4000000000000004,True,1.0152537209662074,0.6286881048324826,0.3347968188895951,0.2990679467385062
baseline_native_k2,25,2.5,True,1.0189720343369562,0.6286881048371296,0.3347968188895951,0.29906794674315323
baseline_native_k2,26,2.6,True,0.9453803730330004,0.6286881048417765,0.3347968188895951,0.30394132231085247
baseline_native_k2,27,2.7,True,0.8460738338232898,0.6286881048464235,0.3347968188895951,0.33384811699028927
baseline_native_k2,28,2.8000000000000003,True,0.7277930429646366,0.6286881048510704,0.3347968188895951,0.3637549116702546
baseline_native_k2,29,2.9000000000000004,True,0.608297689051021,0.6286881048557174,0.3347968188895951,0.39366170635074843
baseline_native_k2,30,3.0,True,0.48873287152944234,0.6286881048603643,0.3347968188895951,0.4235685010317699
baseline_native_k2,31,3.1,True,0.44143861386113326,0.9458851533024859,0.15640676411155674,0.7950500870979856
baseline_native_k2,32,3.2,True,0.5408940477015116,0.945885153307449,0.15640676411155674,0.79505008710295
baseline_native_k2,33,3.3000000000000003,True,0.6403494815416109,0.9458851533124122,0.15640676411155674,0.7950500871079144
baseline_native_k2,34,3.4000000000000004,True,0.7390826131317081,0.9458851533173789,0.15640676411155674,0.7950500871128786
baseline_native_k2,35,3.5,True,0.6652681661376312,0.945885153322342,0.15640676411155674,0.8210935446103036
baseline_native_k2,36,3.6,True,0.5686917779457019,0.9647662968106864,0.15640676411155674,0.9005985533272898
baseline_native_k2,37,3.7,True,0.4820609331376362,1.0321910779939831,0.15640676411155674,0.9801035620448397
baseline_native_k2,38,3.8000000000000003,True,0.4053756317134025,1.0996158591778435,0.15640676411155674,1.0596085707629535
baseline_native_k2,39,3.9000000000000004,True,0.3386358736729691,1.1670406403622684,0.15640676411155674,1.1391135794816316
baseline_native_k2,40,4.0,True,0.2818416590163051,1.236639933150233,0.15640676411155674,1.2186185882008733
baseline_native_k2,41,4.1000000000000005,True,0.21811308006037233,4.082912328263387,0.058104993570252894,4.026966005021507
baseline_native_k2,42,4.2,True,0.14149702428598276,4.082912328271494,0.05866583473474041,4.026966005029613
baseline_native_k2,43,4.3,True,0.05448070920516224,4.082912328279598,0.05885185998834541,4.026966005037719
baseline_native_k2,44,4.4,False,-0.042012028629915044,4.082912328287705,0.05847842200953701,4.026966005045826
baseline_native_k2,45,4.5,False,-0.24611010013749457,4.082912328295812,0.05754552079831521,4.026966005053932
baseline_native_k2,46,4.6000000000000005,False,-0.5548720837621839,4.0829123283039195,0.05661406860767393,4.026966005062039
baseline_native_k2,47,4.7,False,-0.8636340673874829,4.082912328312027,0.05661406860767393,4.0374947917790625
baseline_native_k2,48,4.800000000000001,False,-1.1723960510133913,4.485259033260848,0.05661406860767393,4.440191392294818
candidate_k3,1,0.1,True,1.2260202723488924,0.31123684399662643,0.30291921073148664,0.018539358587083662
candidate_k3,2,0.2,True,1.1636324112401621,0.3112368440009572,0.30291921073148664,0.018539358591410676
candidate_k3,3,0.30000000000000004,True,1.110105455052845,0.31123684400528795,0.30291921073148664,0.01853935859573769
candidate_k3,4,0.4,True,1.066008316666189,0.31123684400961515,0.30291921073148664,0.018539358600064705
candidate_k3,5,0.5,True,1.0318060094398465,0.3112368440139459,0.30291921073148664,0.01853935860439172
candidate_k3,6,0.6000000000000001,True,1.0078574406394138,0.3112368440182731,0.30291921073148664,0.018539358608718734
candidate_k3,7,0.7000000000000001,True,0.9944217368631478,0.3112368440226039,0.30291921073148664,0.01853935861304575
candidate_k3,8,0.8,True,0.9916571436721304,0.3112368440269311,0.30291921073148664,0.018539358617372763
candidate_k3,9,0.9,True,0.9966898760661951,0.31123684403126184,0.30291921073148664,0.018539358621699774
candidate_k3,10,1.0,True,1.0048429312081661,0.3112368440355926,0.30291921073148664,0.018539358644108613
candidate_k3,11,1.1,True,1.0234822202457137,0.3912920679917278,0.3194207816726742,0.10191462093273371
candidate_k3,12,1.2000000000000002,True,1.0525471067358747,0.3912920679961367,0.3194207816726742,0.10191462093711436
candidate_k3,13,1.3,True,1.0915694956135353,0.3912920680005456,0.3194207816726742,0.101914620941495
candidate_k3,14,1.4000000000000001,True,1.1400081545906173,0.39129206800495453,0.3194207816726742,0.10191462094587567
candidate_k3,15,1.5,True,1.1973575443379187,0.39129206800936345,0.3194207816726742,0.10191462095025633
candidate_k3,16,1.6,True,1.262652408857798,0.39129206801377237,0.3194207816726742,0.10191462095463699
candidate_k3,17,1.7000000000000002,True,1.2058670671859653,0.39129206801818484,0.3194207816726742,0.10191462095901763
candidate_k3,18,1.8,True,1.151316200050517,0.39129206802259375,0.3194207816726742,0.10191462096339829
candidate_k3,19,1.9000000000000001,True,1.10560442753976,0.39129206802700267,0.3194207816726742,0.11026251753771699
candidate_k3,20,2.0,True,1.0691624707956084,0.3912920680314116,0.3194207816726742,0.12045397963907938
candidate_k3,21,2.1,True,1.0423171615110824,0.6166718866200274,0.3351290533836373,0.2866420440751758
candidate_k3,22,2.2,True,1.0252882090270186,0.6166718866246637,0.3351290533836373,0.28664204407981086
candidate_k3,23,2.3000000000000003,True,1.0181526245745367,0.6166718866292964,0.3351290533836373,0.2866420440844459
candidate_k3,24,2.4000000000000004,True,1.0206794579032223,0.6166718866339327,0.3351290533836373,0.28664204408908095
candidate_k3,25,2.5,True,1.025175779874231,0.616671886638569,0.3351290533836373,0.28664204409371596
candidate_k3,26,2.6,True,0.9505218269753901,0.6166718866432017,0.3351290533836373,0.2924392061181425
candidate_k3,27,2.7,True,0.8515699790003406,0.616671886647838,0.3351290533836373,0.3211034105326221
candidate_k3,28,2.8000000000000003,True,0.7337389378566384,0.6166718866524707,0.3351290533836373,0.3497676149476276
