stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],1417,1417,1417,21.518602885345484
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:400:_power_interval_bounds,[[]],936,936,936,14.214123006833713
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],906,906,906,13.758542141230068
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],394,394,394,5.983295368261199
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],378,378,378,5.740318906605922
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:494:_interval_is_valid,[[]],234,234,234,3.5535307517084282
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2315:_check_domain,[[]],156,156,156,2.369020501138952
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:2315:_check_domain,[[]],156,156,156,2.369020501138952
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_06,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_07,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_08,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_09,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
remainder_picard_round_10,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],81,81,81,1.2300683371298406
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],80,80,80,1.2148823082763858
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],73,73,73,1.108580106302202
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],73,73,73,1.108580106302202
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:400:_power_interval_bounds,[[]],72,72,72,1.0933940774487472
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2702:<genexpr>,[[]],65,65,65,0.9870918754745635
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],36,36,36,0.5466970387243736
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2797:_sound_scale_tm_interval,[[]],26,26,26,0.39483675018982534
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2959:sin_tm,[[]],26,26,26,0.39483675018982534
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:310:_point_sin_cos_enclosure,[[]],26,26,26,0.39483675018982534
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:494:_interval_is_valid,[[]],21,21,21,0.31890660592255127
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],18,18,18,0.2733485193621868
initial_remainder_picard,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,0.2733485193621868
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],14,14,14,0.2126044039483675
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],14,14,14,0.2126044039483675
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2856:_sound_mul_tm,[[]],13,13,13,0.19741837509491267
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],12,12,12,0.18223234624145787
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],12,12,12,0.18223234624145787
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],12,12,12,0.18223234624145787
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:2218:__post_init__,[[]],12,12,12,0.18223234624145787
