path,line,match,context,classification,recommended_action
README.md,32,FLOWSTAR_ROOT,"`FLOWSTAR_ROOT`, `FLOWSTAR_AUDIT_ROOT`, `DIFFREACH_ROOT`, and",environment_contract,keep configurable and provenance-recorded; reject implicit latest outputs
README.md,32,FLOWSTAR_AUDIT_ROOT,"`FLOWSTAR_ROOT`, `FLOWSTAR_AUDIT_ROOT`, `DIFFREACH_ROOT`, and",environment_contract,keep configurable and provenance-recorded; reject implicit latest outputs
README.md,32,DIFFREACH_ROOT,"`FLOWSTAR_ROOT`, `FLOWSTAR_AUDIT_ROOT`, `DIFFREACH_ROOT`, and",environment_contract,keep configurable and provenance-recorded; reject implicit latest outputs
benchmarks/canonical.yaml,97,flowstar_root,primary_variant: flowstar_root_cause_patch,absolute_or_implicit_path_review,keep configurable and provenance-recorded; reject implicit latest outputs
benchmarks/canonical.yaml,101,flowstar_root,- flowstar_root_cause_patch,absolute_or_implicit_path_review,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/README.md,13,FLOWSTAR_ROOT,3. Compile the case against `FLOWSTAR_ROOT/flowstar-toolbox/libflowstar.a`.,environment_contract,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/README.md,31,FLOWSTAR_ROOT,export FLOWSTAR_ROOT=/path/to/flowstar,environment_contract,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/build_flowstar_case.py,18,FLOWSTAR_ROOT,"parser.add_argument(""--flowstar-root"", default=None, help=""path to chenxin415/flowstar root or set FLOWSTAR_ROOT"")",environment_contract,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/build_flowstar_case.py,26,flowstar_root,"flowstar_root=args.flowstar_root,",absolute_or_implicit_path_review,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/build_flowstar_case.py,26,flowstar_root,"flowstar_root=args.flowstar_root,",absolute_or_implicit_path_review,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/compare_against_torch_tm.py,43,flowstar_root,"from run_flowstar import find_flowstar_executable, find_flowstar_root, run_flowstar_legacy_model, run_flowstar_toolbox",absolute_or_implicit_path_review,keep configurable and provenance-recorded; reject implicit latest outputs
comparisons/flowstar/compare_against_torch_tm.py,365,flowstar_root,"flowstar_root: str | None,",absolute_or_implicit_path_review,keep configurable and provenance-recorded; reject implicit latest outputs
