artifact_or_run_id,path,producer_script,producer_commit,torch_sha,flowstar_backend_label,flowstar_sha,flowstar_dirty_or_patch,diffreach_sha,configuration_manifest,bound_semantics,endpoint_exporter_semantics,runtime_boundary,completion_semantics,validation_semantics,status,superseded_by,allowed_use,withdrawal_reason,evidence
flowstar_order4_original_generated_parity,origin/main:outputs/flowstar_benchmark_parity,experiments/flowstar_benchmark_parity.py,9d498f9,9d498f9,official-program + generated-stock,b85a3211748cb77b736fe4ad42ee02d8d2b81148,reported no Flowstar patch,not_applicable,outputs/flowstar_benchmark_parity/original_flowstar_params.json,accepted-segment and full-tube boxes; no endpoint,GNUPLOT segment boxes,subprocess/internal fields differ,completed T=10 for both Flowstar routes,segment-count and parsed-field parity only,supported_diagnostic,none,order-4 official/generated segment-box parity diagnostic,not withdrawn; not a cross-tool endpoint claim,README and parity report explicitly say endpoint_box_available=false
first_order_three_way_20260723T173852Z,archive tag first-order-three-way:experiments/first_order_three_way/results/20260723T173852Z,experiments/first_order_three_way/run_all.sh,5582ae97347d7a0a1c0126d4a50c5df2cd706387,5582ae97347d7a0a1c0126d4a50c5df2cd706387,generated-stock/unknown historical labeling,b85a3211748cb77b736fe4ad42ee02d8d2b81148,Flowstar worktree had generated files; backend class not encoded per row,dd628eb443b517d6415de93e7035b4baef73963e,benchmark_spec_resolved.json,mixed endpoint/segment/tube historical tables,historical exporter,non-parity timing fields,partial failures present,sampling/correctness checks are sanity evidence,withdrawn_do_not_cite,none,provenance only,old headline comparison did not establish comparable backend/bound semantics,environment.json and report at archived branch
matched_basis_followup_20260724T043709Z,archive tag first-order-followup:experiments/first_order_followup/results/20260724T043709Z,experiments/first_order_followup/run_all.sh,206b7d316770e0a2c275ce867070d16a9f2d08d1,206b7d316770e0a2c275ce867070d16a9f2d08d1,generated-stock plus extraction audit,b85a3211748cb77b736fe4ad42ee02d8d2b81148,generated build and audit extraction logs,dd628eb443b517d6415de93e7035b4baef73963e,baseline manifests and result-local spec,raw/transformed endpoint and basis diagnostics explicitly mixed,API extraction audit,component timings,partial horizons explicit in some rows,sampling sanity plus extraction checks,provisional_needs_reaudit,none,matched-basis diagnostic design only,field-level backend parity and current exporter contract still need re-audit,environment.json correctness_checks.json and run_summary.csv
common_contract_20260724T132534Z,archive tag common-contract:experiments/three_way_common_contract/results/20260724T132534Z,experiments/three_way_common_contract/run_all.sh,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,generated-stock,b85a3211748cb77b736fe4ad42ee02d8d2b81148,reported clean tracked Flowstar checkout,dd628eb443b517d6415de93e7035b4baef73963e,result-local benchmark_spec.yaml,collapsed/tightened common-time endpoint comparability not established,historical common exporter,mixed timing boundary,requested/successful horizon fields not uniformly fail-closed,sampling/correctness checks,withdrawn_do_not_cite,none,provenance and schema history only,collapsed/tightened endpoint was used before comparability gates were established,environment.json semantics_summary.csv report
correctness_repair_20260728T140456Z,archive tag correctness-repair:experiments/three_way_comparison_repair/results/20260728T140456Z,experiments/three_way_comparison_repair/run_all.sh,9024a8a29bdc0ad668a7c0620bd53872f4313cc8,9024a8a29bdc0ad668a7c0620bd53872f4313cc8,official-program + generated-stock + patched-audit,mixed stock b85a321 and historical audit checkout,mixed diagnostic patches; primary eligibility not encoded,dd628eb443b517d6415de93e7035b4baef73963e,result-local benchmark_spec.yaml,raw/tightened and endpoint/tube diagnostics separated,official/generated parity and audit exporters,separate runtime decomposition,successful horizons and failures separated,correctness gates plus diagnostic revalidation,historical_provenance,none,repair provenance and exporter semantics diagnostics only,mixed backend rows cannot support a current primary cross-tool claim,flowstar_original_parity.csv flowstar_audit.csv torch_endpoint_audit.csv
deep_study_20260730T015245Z,archive tag deep-study:experiments/three_tool_deep_study/artifacts/authoritative/20260730T015245Z,experiments/three_tool_deep_study/run_all.sh,129b63322d7ec5e9617f54579a30ebdd6adc4c43,129b63322d7ec5e9617f54579a30ebdd6adc4c43,patched-audit,2310c1ac55357d0b48af3b37495a82a3e10ea4ff,cache-leaf/revalidation audit series,dd628eb443b517d6415de93e7035b4baef73963e,frozen_input_manifest_final.json,mixed raw/tightened/segment/common exports,multiple historical exporters,known timing protocol defects,known partial-completion defects,artifact completeness did not validate protocol semantics,withdrawn_do_not_cite,none,provenance only,known protocol defects and patched audit backend,environment.json frozen manifests and historical invalidation docs
consolidation_smokes_v4_v5_v6,audits/repository_consolidation/20260730T083258Z/06_smoke,experiments/consolidated_study/cli.py,73c07c9/9bef0ac/2d870f6,various freezes,patched-audit,547e405ccdfd1f7389181588b1f63b218a45d774,FLOWSTAR_AUDIT_CACHE_LEAF_TRUNCATION=1,dd628eb443b517d6415de93e7035b4baef73963e,per-run CONFIG_MANIFEST.json,raw_endpoint labels but patched semantics,generated audit harness,total_configuration_v2,smoke horizons only,independent pipeline checks,supported_diagnostic,none,pipeline regression only,never authoritative and never primary cross-tool evidence,run manifests/provenance under each smoke directory
consolidation_formal_20260730T124958Z,audits/repository_consolidation/20260730T083258Z/07_failed_formal/20260730T124958Z,experiments/consolidated_study/cli.py,1adb631,1adb631,patched-audit,547e405ccdfd1f7389181588b1f63b218a45d774,FLOWSTAR_AUDIT_CACHE_LEAF_TRUNCATION=1,dd628eb443b517d6415de93e7035b4baef73963e,CONFIG_MANIFEST.json,raw_endpoint label but patched semantics,generated audit harness,total_configuration_v2,numerical completion but repository hygiene failed,independent audit rejected,historical_provenance,none,failure provenance only,failed repository-hygiene acceptance and patched backend,INDEPENDENT_AUDIT.json and final_acceptance.json
consolidation_formal_20260730T141302Z,audits/repository_consolidation/20260730T083258Z/08_rejected_formal_semantic_review/20260730T141302Z,experiments/consolidated_study/cli.py,e50fe9d,e50fe9d,patched-audit,547e405ccdfd1f7389181588b1f63b218a45d774,FLOWSTAR_AUDIT_CACHE_LEAF_TRUNCATION=1,dd628eb443b517d6415de93e7035b4baef73963e,CONFIG_MANIFEST.json,raw_endpoint label but patched semantics,generated audit harness,total_configuration_v2,reported completion,old auditor grouped Pareto by tool,withdrawn_do_not_cite,none,semantic-defect provenance only,incorrect Pareto grouping plus patched backend,semantic review directory and run registry
consolidation_formal_20260730T153654Z,artifacts/runs/20260730T153654Z,experiments/consolidated_study/cli.py,0dfdf587ee0fb9cff374dbc41ecdf17dfa2bf781,0dfdf587ee0fb9cff374dbc41ecdf17dfa2bf781,patched-audit,547e405ccdfd1f7389181588b1f63b218a45d774,FLOWSTAR_AUDIT_CACHE_LEAF_TRUNCATION=1 changes enclosures and acceptance,dd628eb443b517d6415de93e7035b4baef73963e,CONFIG_MANIFEST.json,raw_endpoint label but patched backend semantics,generated audit harness,total_configuration_v2,24 rows claimed complete,independent artifact checks did not reject backend semantic mismatch,withdrawn_do_not_cite,none,frozen provenance only,headline/Pareto run used patched audit backend and cannot be primary evidence,PROVENANCE.json points to flowstar-audit and run_pareto.py sets cache-leaf truncation
