sha256,size_bytes,duplicate_count,paths,classification,recommended_action
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,20,artifacts/runs/.gitkeep;artifacts/runs/20260730T153654Z/EXPLORATORY.csv;artifacts/runs/20260730T153654Z/FAILURES.csv;artifacts/runs/20260730T153654Z/native_pareto_excluded.csv;artifacts/runs/20260730T153654Z/native_pareto_exploratory.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/EXPLORATORY.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/FAILURES.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/PRIMARY_PARETO.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/native_pareto_exploratory.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/native_pareto_summary.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/EXPLORATORY.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/FAILURES.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/PRIMARY_PARETO.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/native_pareto_exploratory.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/native_pareto_summary.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/EXPLORATORY.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/FAILURES.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/PRIMARY_PARETO.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/native_pareto_exploratory.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/native_pareto_summary.csv,frozen_provenance_duplicate,review; do not delete mechanically
dc5deb3cbc2fce4e48837a7f5eaf119eeadc88b36f3ff5bd3b28f5f8710c392f,14444,3,artifacts/runs/20260730T153654Z/CONFIG_MANIFEST.json;audits/repository_consolidation/20260730T083258Z/07_failed_formal/20260730T124958Z/CONFIG_MANIFEST.json;audits/repository_consolidation/20260730T083258Z/08_rejected_formal_semantic_review/20260730T141302Z/CONFIG_MANIFEST.json,frozen_provenance_duplicate,review; do not delete mechanically
4cbfa10e4cf7545abe562ed197595434de68f800594ab49f6d0fe7403cc0edb1,16321,3,artifacts/runs/20260730T153654Z/ELIGIBILITY.csv;artifacts/runs/20260730T153654Z/PRIMARY_PARETO.csv;artifacts/runs/20260730T153654Z/native_pareto_summary.csv,frozen_provenance_duplicate,review; do not delete mechanically
c5e2568e3d68cc642a105b5c7a6183c03722fbf5e557eefa1283d4d3d8130b28,8793,2,artifacts/runs/20260730T153654Z/INDEPENDENT_AUDIT.json;artifacts/runs/20260730T153654Z/final_acceptance.json,frozen_provenance_duplicate,review; do not delete mechanically
bef02520cee4082aa7ddecac766d1ecd89c788826a019fa5eedbe28d0a51b3ea,15808,2,artifacts/runs/20260730T153654Z/SUMMARY.csv;artifacts/runs/20260730T153654Z/runtime_summary.csv,frozen_provenance_duplicate,review; do not delete mechanically
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,56,artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/compile.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/compile.stdout.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/run.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/compile.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/compile.stdout.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/run.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/compile.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/compile.stdout.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/run.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/compile.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/compile.stdout.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/run.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/compile.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/compile.stdout.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/run.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/compile.stderr.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/compile.stdout.txt;artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.015_o4_r0.0001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T0.03_o4_r0.001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T0.03_o4_r0.0001_c1e-15_p53/run.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/compile.stderr.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/compile.stdout.txt;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T0.015_o4_r0.01_c1e-15_p53/run.stderr.txt;comparisons/__init__.py;comparisons/flowstar/__init__.py,frozen_provenance_duplicate,review; do not delete mechanically
0463018b0b8091ed844235336ae5ea31a84b5829d321678ca290a503e8ae78d6,2945,2,audits/repository_consolidation/20260730T083258Z/01_02_inventory/CANONICAL_BASE_DECISION.md;docs/history/CANONICAL_BASE_DECISION.md,exact_redundancy,review; do not delete mechanically
00f3f5cf451b6cf6c19c4ce2ef4b32e90ccff930abf422d18eb7197ded102218,8129,2,audits/repository_consolidation/20260730T083258Z/01_02_inventory/branch_inventory.csv;audits/repository_consolidation/20260730T083258Z/01_02_inventory/branch_inventory_before.csv,exact_redundancy,review; do not delete mechanically
c4e8c8f88ab7d5b348d8ff2cf3b1ea61725e23414f1d9b352755ca4981caf8b4,7700,3,audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/CONFIG_MANIFEST.json;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v5/CONFIG_MANIFEST.json;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v6/CONFIG_MANIFEST.json,exact_redundancy,review; do not delete mechanically
78104178c4f7c5300c93a9de2207fd7c00c9cd37b8855f9f715ba67a885c229a,9195,2,audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/ELIGIBILITY.csv;audits/repository_consolidation/20260730T083258Z/06_smoke/canonical-smoke-20260730-v4/native_pareto_excluded.csv,exact_redundancy,review; do not delete mechanically
