path,symbol_or_cli,purpose,classification,replacement
analysis/independent_audit.py,__main__,Python CLI,supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/build_flowstar_case.py,__main__,"Build one generated Flow* toolbox C++ case.

This is a thin CLI wrapper around :mod:`run_flowstar`.  It is useful when you
want to inspect compiler/linker failures without running the full comparison
suite.",supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/compare_against_torch_tm.py,__main__,"Plant-only comparison suite: torch_tm_flowpipe vs. Flow*.

This script deliberately compares isolated polynomial plant ODEs.  It does not
run CROWN, auto_LiRPA, NNCS controllers, Jacobian bounds, or Flow* bindings in
the core library.",supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/export_flowstar_model.py,__main__,"Export plant-only polynomial ODE benchmarks to Flow* inputs.

The default target is the current ``chenxin415/flowstar`` toolbox repository,
which exposes Flow* as a C++ static library rather than as a standalone model
file executable.  A legacy ``.model`` renderer is kept for older Flow* 2.x style
installations, but the comparison script defaults to toolbox C++.",supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/parse_flowstar_output.py,__main__,"Best-effort parser for Flow* text output.

Flow* can emit several text formats depending on version and settings.  This
parser starts with conservative box parsing: it scans stdout/stderr or generated
text files for variable ranges of the form ``x in [lo, hi]`` and returns (i) a
proxy for the final reachable box and (ii) the hull of all seen boxes.

For the current ``chenxin415/flowstar`` toolbox runner, generated C++ programs
emit GNUPLOT interval files.  When ``parse_files(..., numeric_plot_vars=...)`` is
used, this parser also scans two-column numeric plot blocks and interprets the
second column as the plotted state variable range.  This is still a box/range
comparison, not Taylor-model coefficient parsing.",supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/run_flowstar.py,__main__,"Runners for Flow* comparison backends.

Current ``chenxin415/flowstar`` exposes the toolbox as a C++ static library.
The preferred runner therefore compiles a generated C++ benchmark against
``flowstar-toolbox/libflowstar.a`` and executes the resulting binary.  A legacy
stdin-based executable runner is retained for older Flow* parser builds.",supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/run_flowstar_case.py,__main__,Run one generated Flow* toolbox C++ case and leave stdout/stderr/artifacts.,supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
comparisons/flowstar/summarize_comparison.py,__main__,"Summarize plant-only Flow* comparison CSV files.

The summary is intentionally conservative: it reports torch-vs-torch evidence
whenever Flow* is unavailable, and only reports torch/Flow* ratios for rows with
parsed Flow* boxes.  Sampling containment is labeled as a regression sanity
check, not a proof.",supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
examples/affine_controlled.py,__main__,Python CLI,supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
examples/scalar_quadratic.py,__main__,Python CLI,supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
examples/van_der_pol_short.py,__main__,Python CLI,supported_diagnostic_or_historical,experiments/consolidated_study/cli.py for supported study orchestration
