path,purpose,source_or_generated,active_or_legacy,entrypoint_or_library,imports_or_callers,tests,artifact_inputs,artifact_outputs,replacement,classification,recommended_action,size_bytes,sha256
.gitignore,versioned repository path; see architecture/history registry,source,active,library_or_evidence,not_applicable,tests/,explicit paths only,none_known,none,canonical_active,retain,597,0c9541a6f62d2f15991efd7a52e463f59aa53df216a46a1f9db15bfb0ad6dcf1
README.md,versioned repository path; see architecture/history registry,source,active,library_or_evidence,not_applicable,tests/,explicit paths only,none_known,none,canonical_active,retain,2563,659a2b284cdcf2be59817b263fe08a9dae6cd68f90751f48a628ed3cbc3d343c
analysis/__init__.py,versioned repository path; see architecture/history registry,source,active,library_or_evidence,inventory_required_for_specific_call_graph,tests/,explicit paths only,none_known,none,canonical_active,retain,55,c2026f863276ec803aba8530e50f4b7727ad4b95299a8dab0f30a4f65138dbef
analysis/independent_audit.py,versioned repository path; see architecture/history registry,source,active,entrypoint,inventory_required_for_specific_call_graph,tests/,explicit paths only,explicit output directory required for runners,none,canonical_active,retain,20372,5ac61a2bc597140e891f1b1d52970acebd7566457ef4caa1464f7dc9a0df8afe
artifacts/runs/.gitkeep,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
artifacts/runs/20260730T153654Z/COMPLETE_TEST.log,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,949,e9307d439cf73b64b565de70df2f93c3e1431157603d0c59dac78e53b13257cd
artifacts/runs/20260730T153654Z/CONFIG_MANIFEST.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,14444,dc5deb3cbc2fce4e48837a7f5eaf119eeadc88b36f3ff5bd3b28f5f8710c392f
artifacts/runs/20260730T153654Z/ELIGIBILITY.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,16321,4cbfa10e4cf7545abe562ed197595434de68f800594ab49f6d0fe7403cc0edb1
artifacts/runs/20260730T153654Z/ENVIRONMENT.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,8702,ef2426f970d6075715ef1294d65a11fe96a8cbe7832c2b20d9a515c9e37b93c9
artifacts/runs/20260730T153654Z/EXPLORATORY.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
artifacts/runs/20260730T153654Z/FAILURES.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
artifacts/runs/20260730T153654Z/FIGURE_MANIFEST.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,347,eb720304a4437744d5c4b0b7dace53f3d8da79a7dea423c7cc24172fd5950902
artifacts/runs/20260730T153654Z/INDEPENDENT_AUDIT.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,8793,c5e2568e3d68cc642a105b5c7a6183c03722fbf5e557eefa1283d4d3d8130b28
artifacts/runs/20260730T153654Z/PRIMARY_PARETO.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,16321,4cbfa10e4cf7545abe562ed197595434de68f800594ab49f6d0fe7403cc0edb1
artifacts/runs/20260730T153654Z/PROVENANCE.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,6580,3a5382c1e64dee6a0cdb34fcd2901b2be120774896142df6e85653a02784cb3c
