step,time,flowstar_status,torch_status,flowstar_center_x,flowstar_center_y,flowstar_scale_x,flowstar_scale_y,flowstar_polynomial_range_x_lo,flowstar_polynomial_range_x_hi,flowstar_polynomial_range_y_lo,flowstar_polynomial_range_y_hi,flowstar_picard_remainder_x_lo,flowstar_picard_remainder_x_hi,flowstar_picard_remainder_y_lo,flowstar_picard_remainder_y_hi,flowstar_symbolic_propagated_width_x,flowstar_symbolic_propagated_width_y,flowstar_queue_size,torch_prestate_center,torch_prestate_scale,torch_new_center,torch_new_scale,torch_polynomial_range_width_x,torch_polynomial_range_width_y,torch_ordinary_remainder,torch_parameterization_remainder_width_x,torch_parameterization_remainder_width_y,torch_pre_renormalization_range_width_x,torch_pre_renormalization_range_width_y,torch_validator_margin_x,torch_validator_margin_y,flowstar_endpoint_x_lo,flowstar_endpoint_x_hi,flowstar_endpoint_x_width,flowstar_endpoint_y_lo,flowstar_endpoint_y_hi,flowstar_endpoint_y_width,flowstar_segment_tube_x_lo,flowstar_segment_tube_x_hi,flowstar_segment_tube_x_width,flowstar_segment_tube_y_lo,flowstar_segment_tube_y_hi,flowstar_segment_tube_y_width,torch_endpoint_x_lo,torch_endpoint_x_hi,torch_endpoint_x_width,torch_endpoint_y_lo,torch_endpoint_y_hi,torch_endpoint_y_width,torch_segment_tube_x_lo,torch_segment_tube_x_hi,torch_segment_tube_x_width,torch_segment_tube_y_lo,torch_segment_tube_y_hi,torch_segment_tube_y_width
1,0.01,accepted,accepted,1.25,2.4000000000000004,0.14999999999999991,0.049999999999999822,1.0993097672408847,1.4245549891671749,2.3116651816198712,2.4610570317545539,-6.1601259820983703e-08,7.9016770190763941e-08,-6.1598855612242119e-06,7.9014240992311508e-06,0,0,1,"[1.25, 2.4000000000000004]","[0.1499999999999999, 0.050000000000000044]","[1.27386745640806, 2.3732383946244253]","[0.15045059849388548, 0.06092414958140347]",0.30089649698177096,0.1212986678071291,"[[-1.0000030000000013e-06, -1.672505283892298e-05], [1.0000030000000013e-06, 1.8898309417761243e-05]]",2.0000060000000047e-06,3.562336225668426e-05,0.300898496987771,0.12133429116938578,9.8999997e-05,8.110169058223875e-05,1.1233097182976843,1.4244225119339453,0.301112793636261,2.311664291358734,2.434298058178654,0.12263376681992,1.0993097056396248,1.4245550681839452,0.32524536254432035,2.3116590217343096,2.4610649331786534,0.1494059114443438,1.1234168579141735,1.4243153549019467,0.30089849698777327,2.312314245043018,2.433648536212411,0.1213342911693931,1.0993087672378825,1.4245559891701776,0.32524722193229505,2.311648456567026,2.4610759300639784,0.1494274734969525
2,0.02,accepted,accepted,1.2738674564080601,2.3732383946244253,0.15044966009214522,0.060913584414125518,1.1226096816032172,1.4487148537217673,2.2722431003561003,2.4454590232276932,-6.6491734846433948e-08,8.349628881488235e-08,-6.6489102431393157e-06,8.3493530559457061e-06,0,0,2,"[1.27386745640806, 2.3732383946244253]","[0.15045059849388548, 0.06092414958140347]","[1.29745976484137, 2.344976281929029]","[0.1507998952268986, 0.07172696343444575]",0.30158514261249586,0.14240453551288915,"[[-1.0000030000000013e-06, -1.725005236159532e-05], [1.0000030000000013e-06, 1.9521267215647628e-05]]",4.355216786995384e-06,7.246863247050441e-05,0.30158949782928285,0.14247700414535966,9.8999997e-05,8.047873278435237e-05,1.1463431164287508,1.448566150802123,0.3022230343733723,2.2724661522317584,2.4165085009555138,0.14404234872375543,1.1226107177825237,1.44870624101504,0.3260955232325162,2.2724600705092985,2.4447766953733701,0.1723166248640715,1.1464501005045302,1.448466743220258,0.3020166427157278,2.2730951438938103,2.416347131657433,0.1432519877636227,1.122607636621552,1.4487168986699264,0.3261092620483743,2.2722150945538337,2.445489293692805,0.17327419913897124
3,0.03,accepted,accepted,1.2974597648413699,2.3449762819290285,0.1507942788252542,0.071705715099774608,1.1457408645888469,1.4724783387237592,2.2314695691295587,2.4282501725526147,-7.1806099804682626e-08,8.8318273457076906e-08,-7.1803229610990066e-06,8.8315278210370239e-06,2.8071398680978249e-07,1.3974731213994112e-05,3,"[1.29745976484137, 2.344976281929029]","[0.1507998952268986, 0.07172696343444575]","[1.3207621045819984, 2.315251327004612]","[0.1510471237681145, 0.08237285145582794]",0.30206491798938906,0.16324921630959707,"[[-1.0000030000000013e-06, -1.7770369264135516e-05], [1.0000030000000013e-06, 2.0135480571493468e-05]]",7.077459691506678e-06,0.00011051427034682809,0.30207199544908064,0.16335973057994393,9.8999997e-05,7.986451942850653e-05,1.1691929266517309,1.4723117697196855,0.30311884306795456,2.2319465265461922,2.3971684239334445,0.16522189738725235,1.1457431471448418,1.4724592094859461,0.3267160623411043,2.2319396559619262,2.4269002494421277,0.19496059348020145,1.169295859428248,1.4722256834263818,0.30292982399813373,2.2325656493394574,2.397431464351676,0.16486581501221842,1.145734032272316,1.4724851708416857,0.32675113856936977,2.2314298523561265,2.4282922162594245,0.19686236390329803
4,0.04,accepted,accepted,1.3207621045819984,2.3152513270046113,0.15102972757327712,0.082336562455835344,1.168693107826636,1.4958264113508921,2.1894446239663607,2.409410456512894,-7.7288996771357882e-08,9.3233370433922476e-08,-7.7285881039233021e-06,9.323013212698778e-06,7.2078722355963993e-07,2.8885089647469795e-05,4,"[1.3207621045819984, 2.315251327004612]","[0.1510471237681145, 0.08237285145582794]","[1.3437600551371918, 2.2841058821287725]","[0.1511918014306966, 0.09282689978493068]",0.30233539733155707,0.18376523613286636,"[[-1.0000030000000013e-06, -1.8284136261044152e-05], [1.0000030000000013e-06, 2.0738140092185282e-05]]",1.0178496530223865e-05,0.00014973195166194316,0.30234557582808735,0.1839149680845283,9.8999997e-05,7.926185990781473e-05,1.1918493120764078,1.4956431261045193,0.30379381402811156,2.1902043979452102,2.3762655509239732,0.18606115297876302,1.1686967802003874,1.4957977074253459,0.32710092722495854,2.1901967676653804,2.4074186260796417,0.21722185841426134,1.1919408334974848,1.4955766356269056,0.30363580212942076,2.1908039178169028,2.3769080555262394,0.18610413770933665,1.1686743395929813,1.4958451789762157,0.32717083938323444,2.189388197282496,2.4094692209364856,0.22008102365398985
5,0.05,accepted,accepted,1.3437600551371918,2.2841058821287721,0.15115607243648238,0.092780323684353752,1.1914522108942354,1.5187448770850158,2.1462420780039637,2.3889552315902263,-8.2801400272574617e-08,9.8110498435156986e-08,-8.2798032475392851e-06,9.8107012229824451e-06,1.3321480185334457e-06,4.4863697483257843e-05,5,"[1.3437600551371918, 2.2841058821287725]","[0.1511918014306966, 0.09282689978493068]","[1.3664396422226905, 2.251586803308427]","[0.15123373480251615, 0.1030551434853655]",0.30239675481693223,0.20388655735637903,"[[-1.0000030000000013e-06, -1.8786638385177978e-05], [1.0000030000000013e-06, 2.1323606189591984e-05]]",1.3669630472068347e-05,0.00019008054514249597,0.30241042444740435,0.20407663790152156,9.8999997e-05,7.867639381040802e-05,1.2142984945840025,1.5185460892717926,0.30424759468779006,2.147313247925057,2.3538216611420713,0.2065084132170143,1.1914574153220059,1.5187075814482904,0.32725016612628455,2.1473048928127283,2.3863490950747446,0.23904420226201628,1.2143718772275394,1.5185047966034984,0.304132919375959,2.1478917111844877,2.3547888217292194,0.2068971105447317,1.1914149987604745,1.5187820879850644,0.3273670892245899,2.1461732022843782,2.3890264094496745,0.24285320716529624
6,0.06,accepted,accepted,1.3664396422226905,2.2515868033084265,0.1511893974534213,0.1029979761238221,1.2139885271778406,1.5412359234215374,2.1019521283342812,2.3668921532235396,-8.8307637040308954e-08,1.0292618691163459e-07,-8.8304011950478307e-06,1.0292244919807738e-05,2.1242298274150684e-06,6.1819210592950399e-05,6,"[1.3664396422226905, 2.251586803308427]","[0.15123373480251615, 0.1030551434853655]","[1.388787381741578, 2.2177452331343175]","[0.1511730235939461, 0.11302483418017764]",0.3022497672366847,0.2235490904055921,"[[-1.0000030000000013e-06, -1.9274231497814037e-05], [1.0000030000000013e-06, 2.1887340405667076e-05]]",1.7561884575019035e-05,0.00023150866870429369,0.30226732912125975,0.2237805990742964,9.8999997e-05,7.811265959433293e-05,1.236511290526765,1.5410071059660422,0.3044958154392772,2.1033608364573957,2.3298548169928086,0.22649398053541292,1.2139954003155511,1.541175256658369,0.3271798563428179,2.1033517967630382,2.3637054268612756,0.2603536300982374,1.2365760365839311,1.5409961520247988,0.30442011544086767,2.103913901390914,2.3310911362254263,0.22717723483451246,1.21394259634305,1.5412818527467926,0.32733925640374273,2.1018712760276133,2.3669753317628364,0.2651040557352231
7,0.07,accepted,accepted,1.3887873817415779,2.217745233134317,0.15111777217138597,0.11295701844661743,1.2363008593819553,1.5632743115049164,2.0566647082840475,2.3432376448610968,-9.3734693673912102e-08,1.0761387150681739e-07,-9.3730807942689648e-06,1.0760988047875339e-05,3.1041213397359442e-06,7.9559316948999437e-05,7,"[1.388787381741578, 2.2177452331343175]","[0.1511730235939461, 0.11302483418017764]","[1.4107903214312336, 2.182636351910069]","[0.15101006248798343, 0.1227046940766939]",0.3018958129503499,0.24269118784974972,"[[-1.0000030000000013e-06, -1.9743288176872766e-05], [1.0000030000000013e-06, 2.2424868033651466e-05]]",2.1865706476773958e-05,0.000273954380012786,0.30191767865682667,0.2429651422297625,9.8999997e-05,7.757513196634854e-05,1.2584870000306463,1.563013563121163,0.30452656309051673,2.0584354666487275,2.3043870614224464,0.24595159477371897,1.2363095238938313,1.5631880995683221,0.32687857567449075,2.0584257876290146,2.3395056216664076,0.281079834037393,1.258540584132364,1.5630375245921246,0.3044969404597606,2.058957956378709,2.3058378457937305,0.24687988941502148,1.2362439025278373,1.5633312665069956,0.3270873639791583,2.0565716331963566,2.343333050200331,0.2867614170039743
8,0.08,accepted,accepted,1.4107903214312336,2.1826363519100687,0.15094156986297072,0.12262634665299037,1.2583762180167692,1.5848476968979694,2.010471113021469,2.3180144800512523,-9.9024429717550668e-08,1.1212509618287278e-07,-9.9020281759048849e-06,1.1212085166220803e-05,4.2813139132161162e-06,9.8183338200374666e-05,8,"[1.4107903214312336, 2.182636351910069]","[0.15101006248798343, 0.1227046940766939]","[1.4324360798727216, 2.14631909943956]","[0.1507455409903169, 0.1320651539500032]",0.30133686649102925,0.26125411264595505,"[[-1.0000030000000013e-06, -2.0190392905877675e-05], [1.0000030000000013e-06, 2.293198965345923e-05]]",2.6590915412585877e-05,0.00031734579335201084,0.3013634574064419,0.2615714584393071,9.8999997e-05,7.706801034654078e-05,1.2802131748794479,1.5845537572522943,0.30434058237284645,2.0126263352160594,2.2774474394421564,0.26482110422609706,1.258386786049299,1.5847343876409554,0.32634760159165643,2.0126160666868316,2.3137749604418936,0.301158893755062,1.2802530536858385,1.584616617413383,0.3043635637275446,2.0131134119532508,2.2790572429486327,0.2659438309953819,1.25830590816048,1.5849180044972537,0.3266120963367738,2.0103657475876973,2.3181221597846955,0.30775641219699823
9,0.09,accepted,accepted,1.4324360798727216,2.1463190994395593,0.15066147660290347,0.13197656248444301,1.2802018528596724,1.6059446736437335,1.9634643394059224,2.2912509397623331,-1.0415962097469426e-07,1.164526032825301e-07,-1.0415521126684599e-05,1.1644810697430025e-05,5.6637871972637533e-06,0.00011762905570284012,9,"[1.4324360798727216, 2.14631909943956]","[0.1507455409903169, 0.1320651539500032]","[1.4537128825827255, 2.108855870239933]","[0.15038044126404934, 0.1410785731951339]",0.3005754891501657,0.2791824747170811,"[[-1.0000030000000013e-06, -2.0611704086845287e-05], [1.0000030000000013e-06, 2.3404158652589846e-05]]",3.174660383131536e-05,0.0003616047414696845,0.30060723575399706,0.2795440794585508,9.8999997e-05,7.659584134741017e-05,1.3016776426098386,1.6056169238878648,0.30393928127802616,1.9660240734267194,2.249069948486234,0.2830458750595146,1.2802144249310421,1.6058033388566575,0.3255889139256154,1.9660132692574046,2.2865439818551745,0.3205307125977699,1.3017012741952898,1.6057220522989917,0.30402077810370187,1.9664713368379376,2.2507829918906115,0.28431165505267386,1.2801158613210006,1.606030662463277,0.32591480114227633,1.9633467955324715,2.2913707623957054,0.3280239668632339
10,0.1,accepted,accepted,1.4537128825827255,2.1088558702399327,0.15027848925704054,0.14098019266251646,1.3017652886784394,1.6265548075614096,1.9157385243174396,2.2629807416513117,-1.0909233908770897e-07,1.2055850804158792e-07,-1.0908767022488314e-05,1.2055376355162146e-05,7.2586569854666921e-06,0.00013782156424316515,10,"[1.4537128825827255, 2.108855870239933]","[0.15038044126404934, 0.1410785731951339]","[1.4746095949375608, 2.070312185285664]","[0.14991603397184292, 0.1497194374471838]",0.2996148158072937,0.2964246298736363,"[[-1.0000030000000013e-06, -2.1003791843619807e-05], [1.0000030000000013e-06, 2.3837333265834243e-05]]",3.7340846225439925e-05,0.0004066504139292552,0.29965215665351913,0.29683128028756567,9.8999997e-05,7.616266673416577e-05,1.3228685513034451,1.6261932533967238,0.3033247020932788,1.918722272108689,2.2192913643911591,0.3005690922824702,1.3017799646846151,1.6263851276607182,0.3246051629761031,1.9187109896666623,2.2578463317874551,0.33913534212079277,1.3228734026670512,1.6263434026955181,0.3034700000284669,1.9191237934918897,2.221054011809142,0.30193021831725253,1.3016613031931343,1.6266587898145994,0.3249974866214651,1.9156090925807145,2.2631123976745893,0.3475033050938747
