plant,case,task,step,accepted_match,status_match,h_match,validation_attempts_cpu,validation_attempts_gpu,step_rejections_cpu,step_rejections_gpu,requests_cpu,requests_gpu,post_accept_cpu,post_accept_gpu,behavior_equal
van_der_pol,small-b1,0,1,True,True,True,1,1,0,0,108,108,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,small-b1,0,2,True,True,True,1,1,0,0,107,107,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,small-b2,31,1,True,True,True,1,1,0,0,108,108,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,small-b2,31,2,True,True,True,1,1,0,0,107,107,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,small-b2,0,1,True,True,True,1,1,0,0,108,108,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,small-b2,0,2,True,True,True,1,1,0,0,107,107,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,prefix-b8,12,1,True,True,True,1,1,0,0,108,108,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,prefix-b8,12,2,True,True,True,1,1,0,0,107,107,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,prefix-b8,12,3,True,True,True,1,1,0,0,108,108,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
van_der_pol,prefix-b8,12,4,True,True,True,1,1,0,0,108,108,"{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}","{""post_accept_committed_replays"":5,""post_accept_failure_count"":0,""post_accept_fixed_point_count"":0,""post_accept_replay_calls"":5,""post_accept_replay_cap_count"":0,""post_accept_stop_ratio_count"":1}",True
