plant,mode,B,device,status,solve_seconds,export_seconds,repetitions,source,reason
brusselator,our_cpu_reference,1,cpu,REUSED_FROZEN,1990.778945621103,34.17142175603658,1,raw_minimal/our_brusselator_full/summary.json,"Previous single measurement, not a fresh paired performance result."
brusselator,native_flowstar,1,cpu,REUSED_FROZEN,13.569828379,10.303769863,1,raw_minimal/native_brusselator/summary.json,"Previous single measurement, not a fresh paired performance result."
brusselator,repaired_strict,1,cuda,NOT_STARTED,,,0,,Third independent endpoint-substitution underenclosure; goal sections 4/8 stop candidate repairs before worktree creation.
brusselator,repaired_strict,8,cuda,NOT_STARTED,,,0,,Third independent endpoint-substitution underenclosure; goal sections 4/8 stop candidate repairs before worktree creation.
brusselator,repaired_strict,32,cuda,NOT_STARTED,,,0,,Third independent endpoint-substitution underenclosure; goal sections 4/8 stop candidate repairs before worktree creation.
van_der_pol,our_cpu_reference,1,cpu,REUSED_FROZEN,681.2492698188871,13.37419575219974,1,raw_minimal/our_vdp_full/summary.json,"Previous single measurement, not a fresh paired performance result."
van_der_pol,native_flowstar,1,cpu,REUSED_FROZEN,1.4884663539999998,2.892356023,1,raw_minimal/native_vdp/summary.json,"Previous single measurement, not a fresh paired performance result."
van_der_pol,repaired_strict,1,cuda,NOT_STARTED,,,0,,Third independent endpoint-substitution underenclosure; goal sections 4/8 stop candidate repairs before worktree creation.
van_der_pol,repaired_strict,8,cuda,NOT_STARTED,,,0,,Third independent endpoint-substitution underenclosure; goal sections 4/8 stop candidate repairs before worktree creation.
van_der_pol,repaired_strict,32,cuda,NOT_STARTED,,,0,,Third independent endpoint-substitution underenclosure; goal sections 4/8 stop candidate repairs before worktree creation.
