lane,segment_index,physical_time,controller_period,state,enclosure_kind,torch_width_median,torch_width_p95,torch_width_max,xiangru_width_median,xiangru_width_p95,xiangru_width_max,torch_over_xiangru_ratio_median,torch_over_xiangru_ratio_p95,torch_over_xiangru_ratio_max,torch_hull_width,xiangru_hull_width,torch_polynomial_range_width_median,torch_polynomial_range_width_p95,torch_polynomial_range_width_max,xiangru_polynomial_range_width_median,xiangru_polynomial_range_width_p95,xiangru_polynomial_range_width_max,torch_interval_remainder_width_median,torch_interval_remainder_width_p95,torch_interval_remainder_width_max,xiangru_interval_remainder_width_median,xiangru_interval_remainder_width_p95,xiangru_interval_remainder_width_max,maximum_lower_abs_difference,maximum_upper_abs_difference,torch_contains_xiangru_leaf_count,xiangru_contains_torch_leaf_count,minimum_torch_property_margin,minimum_xiangru_property_margin
common_control_plant_replay,1,0.1,1,x1,endpoint,0.014290496219053317,0.01429780062978297,0.01429847182816657,0.014294522689815126,0.01430182725139147,0.014302503272781375,0.9997182416020579,0.9997190955236388,0.9997193863495772,0.10966662854798559,0.1096706671223322,0.014151135302342363,0.01415113530234428,0.014151135302344776,0.014151135300817928,0.014151135300818143,0.014151135300818154,0.0001393609167110531,0.00014666532744013355,0.0001473365258223766,0.00014338738899722717,0.00015069195057349936,0.00015136797196338647,2.173854123377339e-07,3.823427394800127e-06,0,48,1.36340921681821,1.3634053933908152
common_control_plant_replay,1,0.1,1,x2,endpoint,0.01897979477149958,0.018987875187787266,0.0189882113629386,0.01902221286296296,0.01903036509622793,0.01903066896777894,0.9977700108405225,0.9977750795168726,0.9977768510929663,0.11062445005882127,0.11066683416413237,0.018833390594161774,0.01883339059416395,0.01883339059416418,0.018837676829470018,0.01883767682947011,0.01883767682947024,0.00014640417733801958,0.0001544845936251715,0.00015482076877454198,0.0001845360334929259,0.00019268826675790867,0.00019299213830885605,4.317012626486871e-06,3.8234274126525136e-05,0,48,1.229930404781128,1.229926089029072
common_control_plant_replay,1,0.1,1,x3,endpoint,0.11153139183695324,0.1115539677191118,0.11155618422237168,0.11153139183233282,0.11155396771449139,0.11155618421775124,1.000000000041427,1.000000000041436,1.0000000000414382,0.11221932886629826,0.11221932886167776,0.11153139183456251,0.11155396771672103,0.1115561842199809,0.11153139183233282,0.11155396771449139,0.11155618421775124,2.390745024811963e-12,2.3908021005699374e-12,2.390809442571989e-12,0.0,0.0,0.0,2.3104851365474133e-12,2.31012431406441e-12,48,0,1.649033107989653,1.6490331079919636
common_control_plant_replay,1,0.1,1,x4,endpoint,0.13062783669331057,0.13107935433648382,0.13112368440168143,0.13062783668865285,0.13107935433182472,0.1311236843970225,1.0000000000356564,1.0000000000357994,1.0000000000358285,0.1443865772802112,0.14438657727555237,0.13062783669088734,0.13107935433405965,0.13112368439925723,0.13062783668865285,0.13107935433182472,0.1311236843970225,2.4234450746518916e-12,2.424567017721523e-12,2.424706297073433e-12,0.0,0.0,0.0,2.3295254614197347e-12,2.3301360840832785e-12,48,0,1.374951262903847,1.374951262906177
common_control_plant_replay,1,0.1,1,u1,endpoint,0.3062783669129221,0.3107935433446585,0.31123684399663354,0.3062783669065272,0.3107935433382464,0.31123684399022267,1.0000000000208793,1.000000000021259,1.0000000000213327,0.44386577278192973,0.4438657727755224,0.3062783669090935,0.31079354334081705,0.3112368439927918,0.3062783669065272,0.3107935433382464,0.31123684399022267,3.831721191879889e-12,3.845356152175714e-12,3.846753180192052e-12,0.0,0.0,0.0,3.204547738278052e-12,3.2169822361538536e-12,48,0,N/A,N/A
common_control_plant_replay,2,0.2,1,x1,endpoint,0.016071831667299696,0.016086864067702652,0.016089290387716226,0.016084213875394743,0.01609923844228208,0.01610169123471894,0.99923014062877,0.9992338775886874,0.9992350069205737,0.11837367324718068,0.11838612347154209,0.015766646345401612,0.015766661906733336,0.015766663071960785,0.01576664634386428,0.015766661905191805,0.015766663070419004,0.00030518131320148126,0.0003202275244418819,0.0003226550404042136,0.00031756352283549065,0.0003326019005590189,0.0003350558889460719,9.087542232055767e-07,1.1548157859087027e-05,0,48,1.4333896314388994,1.4333780832810403
common_control_plant_replay,2,0.2,1,x2,endpoint,0.021254147764838693,0.021270603280564397,0.021270716203253603,0.021339285912524597,0.02135619106707663,0.021356273813551097,0.9960051373650827,0.9960231636537142,0.9960283836266214,0.12029156006515251,0.12037665389566232,0.020951240553790454,0.02095186170170681,0.020951906555020165,0.020954911718047045,0.020955529847067292,0.020955573922947446,0.0003027380778530246,0.0003191821883361051,0.00031977931533723475,0.0003843337507199033,0.0004011083535528355,0.000401502614317286,8.642812143189182e-06,7.721591225917646e-05,0,48,1.1679962579925454,1.1679876184333946
common_control_plant_replay,2,0.2,1,x3,endpoint,0.1261255673453629,0.1262158708739975,0.1262247368870371,0.12612556733352065,0.12621587086215505,0.12622473687519453,1.0000000000938924,1.0000000000939697,1.0000000000939842,0.12887731546274292,0.1288773154509006,0.12612556733818764,0.126215870866822,0.12622473687986158,0.12612556733352065,0.12621587086215505,0.12622473687519453,7.175250068106292e-12,7.175498927201569e-12,7.175520023552702e-12,0.0,0.0,0.0,5.921485524140735e-12,5.9210691905065005e-12,48,0,1.6961324319598376,1.6961324319657591
common_control_plant_replay,2,0.2,1,x4,endpoint,0.1612556733889609,0.16215870867530868,0.16224736880570395,0.16125567337710553,0.1621587086634493,0.16224736879384477,1.000000000073519,1.000000000073997,1.00000000007409,0.18877315456276283,0.1887731545509045,0.16125567338174068,0.16215870866808532,0.16224736879848045,0.16125567337710553,0.1621587086634493,0.16224736879384477,7.22066167580616e-12,7.223893120538912e-12,7.224134048095649e-12,0.0,0.0,0.0,5.930034241430349e-12,5.930589352942661e-12,48,0,1.349902525806524,1.3499025258124546
common_control_plant_replay,2,0.2,1,u1,endpoint,0.30627836691724575,0.3107935433489869,0.3112368440009643,0.30627836690452703,0.3107935433362462,0.3112368439882225,1.0000000000415268,1.000000000042249,1.000000000042399,0.44386577278625694,0.44386577277352224,0.30627836690909294,0.3107935433408167,0.3112368439927933,0.30627836690452703,0.3107935433362462,0.3112368439882225,8.155391028101024e-12,8.172913900451632e-12,8.17411778656018e-12,0.0,0.0,0.0,6.368239269249898e-12,6.3806737671257e-12,48,0,N/A,N/A
common_control_plant_replay,3,0.30000000000000004,1,x1,endpoint,0.01784136542671233,0.01786434057585788,0.017869598765364092,0.017866489911710415,0.017889434116749557,0.017894761562597006,0.9985940853362502,0.9986025879886253,0.9986048848958523,0.12605145040436977,0.1260767592576753,0.01734615351041561,0.017346292863557117,0.01734630296236346,0.017346153510590975,0.017346292863725306,0.017346302962531576,0.0004951854457500187,0.000518276356401139,0.0005235464326397572,0.0005203099305759276,0.0005433698971169367,0.0005487092296974374,2.1362258977308812e-06,2.3184984456359192e-05,0,48,1.5091811921609697,1.5091580071765134
