lane,segment_index,physical_time,controller_period,leaf_id,state,enclosure_kind,torch_lower,torch_upper,torch_width,xiangru_lower,xiangru_upper,xiangru_width
common_control_plant_replay,1,0.1,1,0,x1,endpoint,0.5269241546338045,0.5412206425960473,0.01429648796224281,0.5269239394868527,0.5412244403648497,0.014300500877997058
common_control_plant_replay,1,0.1,1,23,x1,endpoint,0.5725562642234657,0.5868396350351358,0.014283370811670082,0.572556048006433,0.5868434487563258,0.014287400749892765
common_control_plant_replay,1,0.1,1,47,x1,endpoint,0.6223062561440417,0.6365907831817901,0.014284527037748407,0.6223060401176748,0.6365946066091849,0.014288566491510113
common_control_plant_replay,1,0.1,1,0,x2,endpoint,-0.761335379000676,-0.7423630383361038,0.018972340664572207,-0.7613396736286571,-0.7423250606480193,0.01901461298063778
common_control_plant_replay,1,0.1,1,23,x2,endpoint,-0.6821595604585096,-0.6631813775166975,0.018978182941812083,-0.6821638657873246,-0.6631432403046814,0.01902062548264316
common_control_plant_replay,1,0.1,1,47,x2,endpoint,-0.6871504402065819,-0.668162995265617,0.018987444940964937,-0.6871547436287728,-0.6681247609914904,0.019029982637282394
common_control_plant_replay,1,0.1,1,0,x3,endpoint,-0.350966892010347,-0.23942180363541124,0.11154508837493574,-0.35096689200803655,-0.23942180363772128,0.11154508837031527
common_control_plant_replay,1,0.1,1,23,x3,endpoint,-0.3505731021887211,-0.23901691796634944,0.11155618422237168,-0.35057310218641075,-0.2390169179686595,0.11155618421775124
common_control_plant_replay,1,0.1,1,47,x3,endpoint,-0.35028822793263664,-0.2387475631440487,0.11154066478858793,-0.35028822793032627,-0.23874756314635878,0.11154066478396749
common_control_plant_replay,1,0.1,1,0,x4,endpoint,0.48066215981594174,0.6115639272689025,0.13090176745296078,0.48066215981827043,0.611563927266573,0.13090176744830262
common_control_plant_replay,1,0.1,1,23,x4,endpoint,0.4885379562484573,0.6196616406501387,0.13112368440168143,0.48853795625078644,0.6196616406478089,0.1311236843970225
common_control_plant_replay,1,0.1,1,47,x4,endpoint,0.49423544137014735,0.6250487370961529,0.13081329572600559,0.4942354413724769,0.6250487370938228,0.13081329572134592
common_control_plant_replay,1,0.1,1,0,u1,endpoint,9.806621598169514,10.11563927267893,0.3090176745094162,9.806621598172704,10.115639272675729,0.30901767450302486
common_control_plant_replay,1,0.1,1,23,u1,endpoint,9.885379562494666,10.1966164064913,0.31123684399663354,9.885379562497866,10.196616406488088,0.31123684399022267
common_control_plant_replay,1,0.1,1,47,u1,endpoint,9.942354413711564,10.250487370951443,0.308132957239879,9.942354413714769,10.250487370948226,0.30813295723345746
common_control_plant_replay,1,0.1,1,0,x1,tube,0.5267377659394803,0.6136525081664537,0.08691474222697337,0.5267375507924221,0.6126443495919495,0.08590679879952734
common_control_plant_replay,1,0.1,1,23,x1,tube,0.5723837644180305,0.6511256672722087,0.07874190285417815,0.5723835482008913,0.6501314135389811,0.07774786533808975
common_control_plant_replay,1,0.1,1,47,x1,tube,0.6221337563386057,0.7011268154188636,0.07899305908025789,0.6221335403121331,0.7001325713918402,0.07799903107970707
common_control_plant_replay,1,0.1,1,0,x2,tube,-0.7652432500198169,-0.6782257269282068,0.08701752309161004,-0.7651776788219745,-0.6831811252945198,0.08199655352745472
common_control_plant_replay,1,0.1,1,23,x2,tube,-0.6856582652342533,-0.5952940661088014,0.0903641991254519,-0.6855927047372645,-0.5998401387078044,0.08575256602946013
common_control_plant_replay,1,0.1,1,47,x2,tube,-0.6906583460284471,-0.5952756838577208,0.09538266217072633,-0.6905927836248472,-0.5998308604407478,0.09076192318409937
common_control_plant_replay,1,0.1,1,0,x3,tube,-0.4059668920103554,-0.23922745581252394,0.16673943619783146,-0.39999999999900004,-0.23942180363772125,0.1605781963612788
common_control_plant_replay,1,0.1,1,23,x3,tube,-0.4057780921111945,-0.23901691796634103,0.16676117414485345,-0.39999999999900004,-0.23901691796865945,0.1609830820303406
common_control_plant_replay,1,0.1,1,47,x3,tube,-0.4057703323943026,-0.2387475631440403,0.1670227692502623,-0.39999999999900004,-0.23874756314635875,0.1612524368526413
common_control_plant_replay,1,0.1,1,0,x4,tube,0.48066215981593413,0.6154508837264883,0.13478872391055413,0.4806621598182704,0.611563927266573,0.13090176744830267
common_control_plant_replay,1,0.1,1,23,x4,tube,0.48443815779915245,0.6196616406501461,0.13522348285099361,0.4885379562507865,0.6196616406478089,0.13112368439702243
common_control_plant_replay,1,0.1,1,47,x4,tube,0.48459335213699023,0.6250487370961604,0.14045538495917015,0.4942354413724769,0.6250487370938228,0.13081329572134592
common_control_plant_replay,1,0.1,1,0,u1,tube,9.806621598169395,10.115639272679052,0.3090176745096578,9.806621598172704,10.115639272675729,0.30901767450302486
common_control_plant_replay,1,0.1,1,23,u1,tube,9.885379562494546,10.19661640649142,0.3112368439968751,9.885379562497866,10.196616406488088,0.31123684399022267
common_control_plant_replay,1,0.1,1,47,u1,tube,9.942354413711442,10.250487370951566,0.30813295724012413,9.942354413714769,10.250487370948226,0.30813295723345746
common_control_plant_replay,2,0.2,1,0,x1,endpoint,0.4482366953139199,0.46431882791895923,0.016082132605039323,0.4482357932474176,0.4643302379913032,0.016094444743885605
common_control_plant_replay,2,0.2,1,23,x1,endpoint,0.5015455507642201,0.5176030093768678,0.016057458612647624,0.5015446452414662,0.5176145047149716,0.016069859473505366
common_control_plant_replay,2,0.2,1,47,x1,endpoint,0.5505487293891699,0.5666103685611006,0.01606163917193071,0.5505478245676345,0.5666219167189597,0.01607409215132516
common_control_plant_replay,2,0.2,1,0,x2,endpoint,-0.8146303975585388,-0.7933914889633618,0.021238908595177075,-0.8146389947258722,-0.7933153969807513,0.021323597745120937
common_control_plant_replay,2,0.2,1,23,x2,endpoint,-0.7403945713977421,-0.7191431684302779,0.021251402967464195,-0.740403191465357,-0.7190663834727256,0.02133680799263149
