category,operation,calls
D,aten.index.Tensor,448
D,aten.index_put_.default,448
D,aten.isnan.default,8732
D,aten.le.Scalar,426
D,aten.lift_fresh.default,922
D,aten.max.dim,510
D,aten.maximum.default,426
D,aten.min.dim,510
D,aten.minimum.default,426
D,aten.mul.Tensor,896
D,aten.nextafter.default,6074
D,aten.ones_like.default,26
D,aten.pow.Tensor_Scalar,1424
D,aten.select.int,8382
D,aten.slice.Tensor,792
D,aten.stack.default,3136
D,aten.unsqueeze.default,396
D,aten.view.default,4420
D,aten.where.self,426
D,aten.zeros.default,154
D,aten.zeros_like.default,564
E,aten._local_scalar_dense.default,2513
E,aten.abs.default,908
E,aten.add.Tensor,1360
E,aten.all.default,486
E,aten.any.default,1407
E,aten.clone.default,2174
E,aten.detach.default,408
E,aten.eq.Scalar,16
E,aten.eq.Tensor,414
E,aten.equal.default,40
E,aten.full_like.default,776
E,aten.gt.Tensor,469
E,aten.isnan.default,938
E,aten.le.Tensor,470
E,aten.lift_fresh.default,442
E,aten.max.dim,91
E,aten.min.dim,91
E,aten.mul.Tensor,1800
E,aten.ne.Scalar,414
E,aten.nextafter.default,776
E,aten.stack.default,91
E,aten.sub.Tensor,302
E,aten.view.default,976
E,aten.zeros.default,48
E,aten.zeros_like.default,1068
F,aten._local_scalar_dense.default,178
F,aten.abs.default,128
F,aten.all.default,8
F,aten.any.default,14
F,aten.clone.default,20
F,aten.detach.default,162
F,aten.eq.Scalar,8
F,aten.eq.Tensor,75
F,aten.full_like.default,6
F,aten.gt.Tensor,4
F,aten.isnan.default,8
F,aten.lift_fresh.default,89
F,aten.max.default,53
F,aten.mul.Tensor,75
F,aten.ne.Scalar,77
F,aten.neg.default,2
F,aten.nextafter.default,6
F,aten.ones.default,2
F,aten.sub.Tensor,63
F,aten.view.default,16
F,aten.zeros.default,6
G,aten._local_scalar_dense.default,253
G,aten.abs.default,137
G,aten.add.Tensor,6
G,aten.all.default,150
G,aten.any.default,62
G,aten.bitwise_and.Tensor,9
G,aten.clone.default,83
G,aten.detach.default,68
G,aten.empty.memory_format,3
G,aten.eq.Tensor,137
G,aten.full_like.default,41
G,aten.ge.Scalar,2
G,aten.ge.Tensor,9
G,aten.gt.Tensor,20
G,aten.isnan.default,40
G,aten.le.Scalar,2
G,aten.le.Tensor,18
G,aten.lift_fresh.default,26
G,aten.max.dim,6
G,aten.min.dim,6
G,aten.mul.Tensor,157
G,aten.ne.Scalar,137
G,aten.nextafter.default,41
G,aten.reciprocal.default,4
G,aten.stack.default,24
G,aten.sub.Tensor,27
G,aten.view.default,86
G,aten.zeros.default,4
H,aten._local_scalar_dense.default,198
H,aten.abs.default,44
H,aten.add.Tensor,50
H,aten.all.default,4
H,aten.any.default,102
H,aten.clone.default,136
H,aten.detach.default,96
H,aten.div.Tensor,2
H,aten.eq.Scalar,4
H,aten.eq.Tensor,44
H,aten.full_like.default,90
H,aten.gt.Tensor,34
H,aten.isnan.default,68
H,aten.lift_fresh.default,48
H,aten.max.dim,6
H,aten.min.dim,6
H,aten.mul.Tensor,68
H,aten.ne.Scalar,44
H,aten.nextafter.default,90
H,aten.stack.default,6
H,aten.sub.Tensor,30
H,aten.view.default,72
H,aten.zeros.default,8
outside_boundary,aten._local_scalar_dense.default,12223
outside_boundary,aten._to_copy.default,126
outside_boundary,aten.abs.default,3839
outside_boundary,aten.add.Tensor,2162
outside_boundary,aten.all.default,6491
outside_boundary,aten.all.dim,337
outside_boundary,aten.allclose.default,486
outside_boundary,aten.any.default,1070
outside_boundary,aten.arange.default,147
outside_boundary,aten.bitwise_and.Tensor,983
outside_boundary,aten.bitwise_not.default,9
outside_boundary,aten.cat.default,632
outside_boundary,aten.clamp.default,126
outside_boundary,aten.clone.default,11345
outside_boundary,aten.copy_.default,331
outside_boundary,aten.count_nonzero.default,315
outside_boundary,aten.detach.default,3034
outside_boundary,aten.div.Tensor,9
outside_boundary,aten.empty.memory_format,92
outside_boundary,aten.eq.Scalar,321
outside_boundary,aten.eq.Tensor,1150
outside_boundary,aten.expand.default,168
outside_boundary,aten.full.default,84
outside_boundary,aten.full_like.default,5652
outside_boundary,aten.ge.Scalar,967
outside_boundary,aten.ge.Tensor,326
outside_boundary,aten.gt.Tensor,500
outside_boundary,aten.index.Tensor,24
outside_boundary,aten.index_put_.default,24
outside_boundary,aten.index_select.default,1740
outside_boundary,aten.isnan.default,370
outside_boundary,aten.le.Scalar,601
outside_boundary,aten.le.Tensor,5723
outside_boundary,aten.lift_fresh.default,600
outside_boundary,aten.lt.Tensor,315
outside_boundary,aten.max.default,756
outside_boundary,aten.max.dim,3518
outside_boundary,aten.maximum.default,937
outside_boundary,aten.min.default,189
outside_boundary,aten.min.dim,3518
outside_boundary,aten.minimum.default,719
outside_boundary,aten.mul.Tensor,7583
outside_boundary,aten.ne.Scalar,1110
outside_boundary,aten.new_empty.default,46
outside_boundary,aten.nextafter.default,5699
outside_boundary,aten.nonzero.default,189
outside_boundary,aten.ones.default,317
outside_boundary,aten.ones_like.default,756
outside_boundary,aten.pow.Tensor_Scalar,9874
outside_boundary,aten.pow.Tensor_Tensor,378
outside_boundary,aten.scatter_add_.default,93
outside_boundary,aten.scatter_reduce_.two,84
outside_boundary,aten.select.int,7664
outside_boundary,aten.set_.source_Storage,92
outside_boundary,aten.set_.source_Storage_storage_offset,46
outside_boundary,aten.slice.Tensor,5903
outside_boundary,aten.stack.default,4872
outside_boundary,aten.sub.Tensor,800
outside_boundary,aten.sum.dim_IntList,735
outside_boundary,aten.unbind.int,1556
outside_boundary,aten.unsqueeze.default,638
outside_boundary,aten.view.default,1262
outside_boundary,aten.where.self,3003
outside_boundary,aten.zeros.default,127
outside_boundary,aten.zeros_like.default,2025
