tool,tool_variant,protocol,local_order,local_retained_basis,carried_representation,reset_policy,validator,extraction_workaround
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,1,"complete_total_degree_1(local_time,state_generators)",none_one_segment,not_applicable,torch_native_picard_growth,
torch_tm_flowpipe,complete_total_degree_order_1,multi_step_common_box_carry,1,"complete_total_degree_1(local_time,state_generators)",componentwise_axis_aligned_box,endpoint_box_exact_no_inflation,torch_native_picard_growth,
torch_tm_flowpipe,complete_total_degree_order_1,native_low_order,1,"complete_total_degree_1(local_time,state_generators)",dependency_preserving_taylor_model,none_native_dependency_carry,torch_native_picard_growth,
diffreach,affine_flag,one_step_common_input,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,
diffreach,affine_flag,multi_step_common_box_carry,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",componentwise_axis_aligned_box,endpoint_box_exact_no_inflation,DiffReach_upstream_remainder_picard_initial_contraction,
diffreach,affine_flag,native_low_order,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}",upstream_normalized_affine_symbolic_carry,upstream_symbolic_linear_normalization,DiffReach_upstream_remainder_picard_initial_contraction,
diffreach,default_restricted_quasi_quadratic,native_low_order,restricted_quasi_quadratic,"stock_restricted_quasi_quadratic_{1,t,z,t^2,t*z}",upstream_restricted_quasi_quadratic_symbolic_carry,upstream_symbolic_linear_normalization,DiffReach_upstream_remainder_picard_initial_contraction,
flowstar,minimum_supported_fixed_order_2,one_step_common_input,2,"complete_total_degree_2(local_time,normalized_generators)",none_one_segment,not_applicable,Flowstar_public_advance_initial_Picard_candidate_inclusion,validated_initial_picard_candidate_remainder_restored_before_extraction
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,2,"complete_total_degree_2(local_time,normalized_generators)",componentwise_axis_aligned_box,endpoint_box_exact_no_inflation,Flowstar_public_advance_initial_Picard_candidate_inclusion,validated_initial_picard_candidate_remainder_restored_before_extraction
flowstar,minimum_supported_fixed_order_2,native_low_order,2,"complete_total_degree_2(local_time,normalized_generators)",native_Flowstar_Taylor_model_flowpipe,native_QR_normalized_Taylor_model_carry,Flowstar_public_advance_initial_Picard_candidate_inclusion,validated_initial_picard_candidate_remainder_restored_before_extraction
