actual_independent_inputs,artifact,batch,certificate_semantics_passed,cold_s,completion,cross_tool_ranking_eligible,device,device_group,device_name,endpoint_width_sum,finite_outputs,formal_claim_eligible,host_synchronizations,lane,mathematical_contract_known,numerical_soundness_class,numerical_soundness_scope,peak_memory_bytes,performance_measurement_eligible,requested_horizon,requested_horizon_completed,scope,soundness_classification,source_sha,track,validated_horizon,warm_max_s,warm_median_s,warm_min_s
True,05_batch_scaling/fixed_support/cpu_b1/summary.json,1,True,0.479335093870759,completed,False,cpu,cpu,x86_64,0.6185895963123633,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,403746816,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,0.49334313813596964,,0.47725107055157423
True,05_batch_scaling/fixed_support/cpu_b8/summary.json,8,True,0.5070429882034659,completed,False,cpu,cpu,x86_64,0.594462795311546,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,404402176,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,0.5175634883344173,,0.5003999620676041
True,05_batch_scaling/fixed_support/cpu_b64/summary.json,64,True,0.5183742139488459,completed,False,cpu,cpu,x86_64,0.5904741114806569,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,403775488,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,0.5325979050248861,,0.5164392543956637
True,05_batch_scaling/fixed_support/cpu_b256/summary.json,256,True,0.6045826897025108,completed,False,cpu,cpu,x86_64,0.5893931736189462,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,406286336,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,0.624221557751298,,0.6014622133225203
True,05_batch_scaling/fixed_support/cpu_b512/summary.json,512,True,0.7135534444823861,completed,False,cpu,cpu,x86_64,0.5890458776996239,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,408989696,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,0.7207760345190763,,0.6959472065791488
True,05_batch_scaling/fixed_support/cuda_v100_b1/summary.json,1,True,1.5204523792490363,completed,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.6185895963123633,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,23068672,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,1.269747570157051,,1.2503044158220291
True,05_batch_scaling/fixed_support/cuda_v100_b8/summary.json,8,True,1.5282999835908413,completed,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.594462795311546,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,23068672,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,1.2776926858350635,,1.260169847868383
True,05_batch_scaling/fixed_support/cuda_v100_b64/summary.json,64,True,1.5369037371128798,completed,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.5904741114806569,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,23068672,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,1.283335480839014,,1.264129132963717
True,05_batch_scaling/fixed_support/cuda_v100_b256/summary.json,256,True,1.5430926969274879,completed,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.5893931736189462,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,25165824,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,1.2828714773058891,,1.2769444910809398
True,05_batch_scaling/fixed_support/cuda_v100_b512/summary.json,512,True,1.5380192855373025,completed,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.5890458776996239,True,False,10,fixed_support,True,empirically sampled only,multi-step lane,27262976,True,0.1,True,canonical_torch_fixed_support,empirically sampled only,da21a9e54649847936787649cfd67044418a00f5,F,0.1,1.2742365645244718,,1.2596511151641607
