step,t_start,t_end,h,t_start_exact,t_end_exact,safety_check_passed,queue_size,queue_reset_count,published_endpoint_x_lo,published_endpoint_x_hi,published_endpoint_y_lo,published_endpoint_y_hi,common_endpoint_x_lo,common_endpoint_x_hi,common_endpoint_y_lo,common_endpoint_y_hi,published_tube_x_lo,published_tube_x_hi,published_tube_y_lo,published_tube_y_hi,common_tube_x_lo,common_tube_x_hi,common_tube_y_lo,common_tube_y_hi
1,0.0,0.02,0.02,0,5764607523034235/288230376151711744,True,1,0,1.5127036632418787,1.5587985840817924,2.9323283041647143,2.975459354504746,1.5127036632418815,1.5587985840817895,2.9323283041647192,2.9754593545047405,1.4769643301053195,1.5587997814190342,2.93041534373559,3.0234653712337343,1.4769643301053283,1.5587997814190253,2.9304153437356084,3.023465371233715
2,0.02,0.04,0.02,5764607523034235/288230376151711744,5764607523034235/144115188075855872,True,2,0,1.5463761512597176,1.5995568289904463,2.882151718027856,2.929036268761628,1.5463761512597205,1.5995568289904432,2.8821517180278615,2.9290362687616223,1.5091610849669643,1.599560475664733,2.879988090442659,2.9794957467883094,1.5091610849669732,1.5995604756647237,2.8799880904426773,2.9794957467882908
3,0.04,0.06,0.02,5764607523034235/144115188075855872,17293822569102705/288230376151711744,True,3,0,1.5812330143145414,1.6420417716863276,2.8296820619328633,2.880477517200108,1.5812330143145443,1.6420417716863247,2.829682061932869,2.8804775172001023,1.542558504555239,1.642050100228244,2.82723976496597,2.933429250009568,1.5425585045552481,1.6420501002282346,2.827239764965989,2.9334292500095502
4,0.06,0.08,0.02,17293822569102705/288230376151711744,5764607523034235/72057594037927936,True,4,0,1.6172348433671606,1.6862124799735374,2.7749418026833594,2.8297835083504186,1.6172348433671637,1.6862124799735343,2.7749418026833657,2.829783508350413,1.5771400487046197,1.6862265640478284,2.7721880313653253,2.8852488009853534,1.5771400487046283,1.6862265640478198,2.7721880313653426,2.885248800985335
5,0.08,0.1,0.02,5764607523034235/72057594037927936,28823037615171175/288230376151711744,True,5,0,1.654323576054368,1.7319953954935234,2.717984429542491,2.776977016553929,1.654323576054371,1.7319953954935206,2.7179844295424975,2.7769770165539223,1.612873183600804,1.7320163996256255,2.7148885952469546,2.8349482840988482,1.6128731836008134,1.7320163996256164,2.714888595246973,2.834948284098829
6,0.1,0.12,0.02,28823037615171175/288230376151711744,17293822569102705/144115188075855872,True,6,0,1.6924201921285364,1.7792786458552614,2.6588996222700265,2.72210711110098,1.6924201921285393,1.7792786458552583,2.6588996222700327,2.722107111100974,1.6497084277421035,1.7793078016632742,2.655431148554631,2.7825455441356635,1.6497084277421128,1.7793078016632646,2.6554311485546487,2.7825455441356457
7,0.12,0.14,0.02,17293822569102705/144115188075855872,40352252661239645/288230376151711744,True,7,0,1.7314225405126513,1.827906483953842,2.5978182301679418,2.6652531734046794,1.731422540512654,1.8279064839538393,2.597818230167947,2.6652531734046736,1.6875771061125615,1.8279450093106397,2.593947553205131,2.728083249990641,1.6875771061125706,1.8279450093106304,2.59394755320515,2.728083249990622
8,0.14,0.16,0.02,40352252661239645/288230376151711744,5764607523034235/36028797018963968,True,8,0,1.7712034662823395,1.8776742320575164,2.5349167301435727,2.606528776792372,1.7712034662823424,1.8776742320575135,2.5349167301435784,2.606528776792366,1.7263887420449675,1.877723581961918,2.5306167297875257,2.671632673626508,1.7263887420449764,1.877723581961909,2.5306167297875435,2.6716326736264904
9,0.16,0.18,0.02,5764607523034235/36028797018963968,51881467707308115/288230376151711744,True,9,0,1.8116093808123521,1.928324270576033,2.4704206980014884,2.5460851920110756,1.8116093808123552,1.92832427057603,2.470420698001494,2.54608519201107,1.766028884493343,1.9283863901391307,2.46566822587049,2.6132977770585266,1.7660288844933523,1.9283863901391212,2.465668225870507,2.6132977770585084
10,0.18,0.2,0.02,51881467707308115/288230376151711744,28823037615171175/144115188075855872,True,10,0,1.8524594000763894,1.9795437211459983,2.404606745304977,2.484114247911486,1.8524594000763923,1.9795437211459952,2.404606745304983,2.48411424791148,1.8063588329886926,1.9796195831350432,2.399383589261432,2.5532197217920163,1.8063588329887017,1.9796195831350343,2.3993835892614506,2.5532197217919976
11,0.2,0.22,0.02,28823037615171175/144115188075855872,63410682753376585/288230376151711744,True,11,0,1.8935452559153152,2.030964446495234,2.3378024228308516,2.420850174338819,1.8935452559153183,2.030964446495229,2.337802422830858,2.420850174338813,1.8472120316113918,2.0310545655199586,2.3320997966901773,2.491576710187341,1.8472120316114005,2.0310545655199452,2.332099796690195,2.4915767101873225
12,0.22,0.24,0.02,63410682753376585/288230376151711744,17293822569102705/72057594037927936,True,12,0,1.9346316371377177,2.0821665111580105,2.270383501561498,2.356570137567086,1.934631637137722,2.0821665111580048,2.270383501561504,2.35657013756708,1.888340216037718,2.08232371751359,2.2642033334431493,2.4285896745225357,1.8883402160377267,2.082323717513572,2.264203333443168,2.4285896745225166
13,0.24,0.26,0.02,17293822569102705/72057594037927936,74939897799445055/288230376151711744,True,13,0,1.9754535547226004,2.1326891596555995,2.2027632941750888,2.2915980744790168,1.9754535547226042,2.132689159655593,2.202763294175094,2.291598074479011,1.9294373209580002,2.1330425766722443,2.196119506899518,2.3645284333402583,1.9294373209580127,2.1330425766722265,2.1961195068995356,2.3645284333402405
14,0.26,0.28,0.02,74939897799445055/288230376151711744,40352252661239645/144115188075855872,True,14,0,2.015368368654769,2.1823930755970893,2.1318137788465834,2.2298705610756375,2.0153683686547756,2.182393075597083,2.1318137788465896,2.229870561075631,1.969935763721596,2.1830254040260724,2.124048289276196,2.303965384291314,1.9699357637216086,2.183025404026055,2.124048289276214,2.303965384291296
15,0.28,0.3,0.02,40352252661239645/144115188075855872,86469112845513525/288230376151711744,True,15,0,2.0543436497737635,2.2304877472056006,2.0609930126384364,2.168795162031814,2.0543436497737693,2.2304877472055944,2.0609930126384417,2.168795162031808,2.009888377837654,2.231416060566029,2.051774483450986,2.243953674685375,2.009888377837671,2.2314160605660116,2.0517744834510037,2.2439536746853572
16,0.3,0.32,0.02,86469112845513525/288230376151711744,5764607523034235/18014398509481984,True,16,0,2.0921324618485437,2.276380717090723,1.9914571630264635,2.1081144219288905,2.092132461848549,2.2763807170907175,1.9914571630264675,2.1081144219288843,2.049065944129263,2.277612857513329,1.9806930734877168,2.183980226306,2.04906594412928,2.2776128575133128,1.9806930734877277,2.183980226305982
17,0.32,0.34,0.02,5764607523034235/18014398509481984,97998327891581995/288230376151711744,True,17,0,2.1283361807053782,2.319640566947612,1.9237025925891773,2.048238061297917,2.128336180705384,2.3196405669476063,1.92370259258918,2.048238061297911,2.0870752144240723,2.3211747189721983,1.9114074345984253,2.124343663939195,2.08707521442409,2.321174718972181,1.9114074345984347,2.124343663939178
18,0.34,0.36,0.02,97998327891581995/288230376151711744,51881467707308115/144115188075855872,True,18,0,2.1626572075595054,2.359770246322751,1.8581975293579662,1.98958483314381,2.162657207559511,2.3597702463227455,1.8581975293579693,1.9895848331438066,2.1236122871731347,2.361593006117755,1.844430048309788,2.065428234604078,2.1236122871731538,2.361593006117736,1.8444300483097975,2.0654282346040618
19,0.36,0.38,0.02,51881467707308115/144115188075855872,109527542937650465/288230376151711744,True,19,0,2.1947339806674115,2.3964000804543413,1.7953832640437637,1.9325523081722493,2.1947339806674173,2.396400080454335,1.7953832640437666,1.9325523081722462,2.1582951105502097,2.398487139284575,1.7802398750515025,2.007617584528193,2.158295110550229,2.398487139284556,1.780239875051511,2.007617584528178
20,0.38,0.4,0.02,109527542937650465/288230376151711744,28823037615171175/72057594037927936,True,20,0,2.2244038227136733,2.429048268617819,1.7357247157569304,1.8774414689266072,2.2244038227136795,2.429048268617813,1.735724715756933,1.8774414689266046,2.1909278215402637,2.4313647224214368,1.7193499765932643,1.9512014393282036,2.1909278215402828,2.4313647224214177,1.7193499765932727,1.9512014393281951
21,0.4,0.42,0.02,28823037615171175/72057594037927936,121056757983718935/288230376151711744,True,21,0,2.2514317993983153,2.457414253111513,1.6796088044300699,1.8245341276760993,2.251431799398322,2.457414253111507,1.6796088044300728,1.8245341276760965,2.221229417288996,2.4599171630873804,1.6621907804221,1.89646629470574,2.2212294172890137,2.4599171630873626,1.6621907804221079,1.8964662947057318
22,0.42,0.44,0.02,121056757983718935/288230376151711744,63410682753376585/144115188075855872,True,22,0,2.2756133116889767,2.481290576290121,1.6273071894473352,1.7741134196299173,2.2756133116889825,2.4812905762901147,1.6273071894473377,1.7741134196299146,2.248908584866193,2.483962108743519,1.6090601406839817,1.8437259498936551,2.2489085848662116,2.483962108743501,1.609060140683991,1.843725949893646
23,0.44,0.46,0.02,63410682753376585/144115188075855872,132585973029787405/288230376151711744,True,23,0,2.296672575923119,2.5006732984557893,1.578997900902493,1.7264307090832733,2.2966725759231252,2.500673298455783,1.5789979009024964,1.7264307090832702,2.2736129605411595,2.5035063649158276,1.5601518421559786,1.7932783794536735,2.2736129605411763,2.5035063649158102,1.560151842155988,1.7932783794536642
24,0.46,0.48,0.02,132585973029787405/288230376151711744,17293822569102705/36028797018963968,True,24,0,2.3143503855799974,2.5156753768137556,1.5346747198224409,1.6817924124726142,2.314350385580004,2.515675376813749,1.5346747198224433,1.6817924124726116,2.2950581209365133,2.5186214480783202,1.515427504374603,1.7455266795250999,2.295058120936531,2.5186214480783025,1.5154275043746115,1.7455266795250914
25,0.48,0.5,0.02,17293822569102705/36028797018963968,144115188075855875/288230376151711744,True,25,0,2.328785622423778,2.526138612483592,1.4943018898150333,1.6404092187583248,2.3287856224237844,2.526138612483586,1.4943018898150364,1.6404092187583215,2.3133166101779694,2.5291512127773785,1.4747750312506243,1.7008213380173733,2.3133166101779876,2.5291512127773594,1.4747750312506334,1.7008213380173642
26,0.5,0.52,0.02,144115188075855875/288230376151711744,74939897799445055/144115188075855872,True,26,0,2.339967930626518,2.5321733640959825,1.4580335769218544,1.6021817361922592,2.339967930626525,2.532173364095976,1.4580335769218573,1.6021817361922563,2.328308964192274,2.535215930843905,1.4384471374002787,1.6590240235001603,2.3283089641922916,2.5352159308438873,1.4384471374002876,1.6590240235001512
27,0.52,0.54,0.02,74939897799445055/144115188075855872,155644403121924345/288230376151711744,True,27,0,2.3478864833934203,2.533994778002369,1.4257700892365714,1.5671570539793724,2.347886483393427,2.5339947780023624,1.4257700892365741,1.5671570539793698,2.3399820427809837,2.5370210098881945,1.4063171640877667,1.620262373286159,2.339982042781003,2.5370210098881754,1.4063171640877756,1.6202623732861499
28,0.54,0.56,0.02,155644403121924345/288230376151711744,40352252661239645/72057594037927936,True,28,0,2.3526273281612347,2.5318080294637175,1.3973423549648722,1.5353597668396781,2.352627328161241,2.5318080294637113,1.3973423549648754,1.5353597668396752,2.3483738339380356,2.5347760887514847,1.3781920846737565,1.5846310199845521,2.348373833938053,2.534776088751468,1.3781920846737654,1.5846310199845433
29,0.56,0.58,0.02,40352252661239645/72057594037927936,167173618167992815/288230376151711744,True,29,0,2.354291779446105,2.5258721201164502,1.3726150617951236,1.5067050784550733,2.354291779446111,2.5258721201164436,1.372615061795127,1.5067050784550702,2.3530886135610487,2.5292026582040115,1.3539271605791983,1.5520924120840098,2.3530886135610674,2.529202658203993,1.353927160579207,1.552092412084001
30,0.58,0.6,0.02,167173618167992815/288230376151711744,86469112845513525/144115188075855872,True,30,0,2.352998822157912,2.5164794511103237,1.3513869333205646,1.481115348115949,2.3529988221579177,2.5164794511103175,1.3513869333205677,1.481115348115946,2.3518098855114036,2.5230030543396595,1.3332924530143908,1.522626986840337,2.351809885511422,2.523003054339642,1.3332924530144001,1.5226269868403282
31,0.6,0.62,0.02,86469112845513525/144115188075855872,178702833214061285/288230376151711744,True,31,0,2.3488866918289446,2.5039372717131605,1.3334390424440756,1.458487898721096,2.348886691828951,2.5039372717131543,1.3334390424440785,1.4584878987210932,2.347727537130087,2.5134157904912167,1.3160424221739062,1.496180058529124,2.3477275371301056,2.5134157904911985,1.3160424221739146,1.4961800585291154
32,0.62,0.64,0.02,178702833214061285/288230376151711744,5764607523034235/9007199254740992,True,32,0,2.3420992584636586,2.4885661737159355,1.3185418528802992,1.438702568215604,2.3420992584636644,2.4885661737159297,1.3185418528803023,1.438702568215601,2.3409822428743072,2.500755143257045,1.3019214430603103,1.4726716233469905,2.340982242874325,2.5007551432570274,1.301921443060319,1.4726716233469817
33,0.64,0.66,0.02,5764607523034235/9007199254740992,190232048260129755/288230376151711744,True,33,0,2.332824350864571,2.4706486844548405,1.3064546291071835,1.4216351400498284,2.3328243508645765,2.4706486844548348,1.3064546291071863,1.4216351400498255,2.3317587458950046,2.485303697740514,1.2906605382076781,1.4520134168422434,2.331758745895022,2.4853036977404956,1.2906605382076868,1.4520134168422345
34,0.66,0.68,0.02,190232048260129755/288230376151711744,97998327891581995/144115188075855872,True,34,0,2.3212426422198855,2.4504698828592733,1.2969705686802473,1.4071226863469581,2.3212426422198917,2.450469882859267,1.2969705686802508,1.4071226863469546,2.320235114210267,2.467351424948892,1.2820354166024608,1.4340624005228004,2.320235114210284,2.4673514249488746,1.2820354166024703,1.434062400522791
35,0.68,0.7000000000000001,0.02,97998327891581995/144115188075855872,201761263306198225/288230376151711744,True,35,0,2.307528243300857,2.428308491336686,1.2898742270940164,1.395014642565145,2.3075282433008626,2.42830849133668,1.289874227094019,1.3950146425651424,2.306581888314359,2.447187069893045,1.275811886636487,1.4186849030936952,2.306581888314378,2.447187069893026,1.275811886636496,1.4186849030936866
36,0.7000000000000001,0.72,0.02,201761263306198225/288230376151711744,51881467707308115/72057594037927936,True,36,0,2.29186789623019,2.4044114262941787,1.284958527117132,1.3851623876638899,2.291867896230196,2.4044114262941725,1.2849585271171349,1.3851623876638872,2.2909842509216416,2.4250686622183597,1.271766450101446,1.4057436073933751,2.290984250921659,2.425068662218342,1.2717664501014552,1.4057436073933658
37,0.72,0.74,0.02,51881467707308115/72057594037927936,213290478352266695/288230376151711744,True,37,0,2.2744412034675734,2.37900929282795,1.2820339902395061,1.3774147047123355,2.2744412034675796,2.3790092928279436,1.282033990239509,1.3774147047123324,2.2736212125001796,2.40123911601184,1.2696960801973152,1.3950933503586982,2.2736212125001978,2.4012391160118214,1.2696960801973247,1.3950933503586889
38,0.74,0.76,0.02,213290478352266695/288230376151711744,109527542937650465/144115188075855872,True,38,0,2.2554186990555682,2.3523155789303702,1.2809278185415889,1.3716219336631292,2.255418699055574,2.352315578930364,1.280927818541592,1.3716219336631261,2.2546619061081006,2.3759264061092744,1.269420824838705,1.3865825135969634,2.2546619061081183,2.3759264061092567,1.2694208248387144,1.3865825135969543
39,0.76,0.78,0.02,109527542937650465/144115188075855872,224819693398335165/288230376151711744,True,39,0,2.2349656566445866,2.324521404002643,1.2814774024074966,1.3676444485737083,2.2349656566445923,2.3245214040026374,1.2814774024074997,1.3676444485737052,2.2342704778191886,2.34933658631188,1.2707708631108865,1.3800685791010379,2.2342704778192073,2.3493365863118614,1.2707708631108958,1.3800685791010283
40,0.78,0.8,0.02,224819693398335165/288230376151711744,28823037615171175/36028797018963968,True,40,0,2.2132381753013153,2.2957990211746924,1.2835339613949988,1.3653499860738159,2.213238175301321,2.2957990211746866,1.2835339613950023,1.3653499860738125,2.2126022401074312,2.321656714273954,1.2735921044242546,1.3754140001869406,2.212602240107449,2.321656714273936,1.2735921044242633,1.3754140001869322
41,0.8,0.8200000000000001,0.02,28823037615171175/36028797018963968,236348908444403635/288230376151711744,True,41,0,2.1903823221595053,2.26630302900484,1.286964614192202,1.364611779610739,2.1903823221595116,2.2663030290048334,1.2869646141922049,1.3646117796107362,2.189802710569833,2.29305578060376,1.2771173268904432,1.373115653680829,2.1898027105698508,2.2930557806037424,1.277117326890452,1.37311565368082
42,0.8200000000000001,0.84,0.02,236348908444403635/288230376151711744,121056757983718935/144115188075855872,True,42,0,2.166533868263233,2.236171551680445,1.2916477619290994,1.3653128055844612,2.166533868263239,2.2361715516804392,1.2916477619291022,1.3653128055844583,2.1660072896712728,2.263685666304802,1.2810816502913336,1.3731892837322062,2.166007289671292,2.263685666304784,1.281081650291343,1.373189283732197
43,0.84,0.86,0.02,121056757983718935/144115188075855872,247878123490472105/288230376151711744,True,43,0,2.1418188813839585,2.2055269461866325,1.297473797387309,1.3673442967963454,2.1418188813839643,2.2055269461866267,1.297473797387312,1.3673442967963423,2.141341840227006,2.2336816698572033,1.2862617244092447,1.3746297407546844,2.141341840227025,2.233681669857184,1.286261724409254,1.3746297407546753
44,0.86,0.88,0.02,247878123490472105/288230376151711744,63410682753376585/72057594037927936,True,44,0,2.1163534888820013,2.174477587404559,1.3043439205991734,1.3706058733199256,2.116353488882007,2.174477587404554,1.3043439205991763,1.3706058733199227,2.115922408285871,2.2031642110240357,1.2925489822726859,1.3773368122503606,2.1159224082858885,2.203164211024018,1.2925489822726948,1.3773368122503513
45,0.88,0.9,0.02,63410682753376585/72057594037927936,259407338536540575/288230376151711744,True,45,0,2.090244083853617,2.1431193458223436,1.3121698509485689,1.3750046083489484,2.090244083853622,2.143119345822338,1.3121698509485717,1.3750046083489453,2.089855391345106,2.172240277899307,1.2998467241608367,1.3812170015740772,2.0898553913451234,2.172240277899289,1.2998467241608456,1.3812170015740683
46,0.9,0.92,0.02,259407338536540575/288230376151711744,132585973029787405/144115188075855872,True,46,0,2.0635878957064984,2.1115367547754755,1.320872149812091,1.380455395311191,2.0635878957065037,2.11153675477547,1.3208721498120937,1.3804553953111882,2.0632381339333765,2.1410045419325088,1.3080681500258224,1.386184229636942,2.0632381339333943,2.141004541932491,1.308068150025831,1.3861842296369327
47,0.92,0.9400000000000001,0.02,132585973029787405/144115188075855872,270936553582609045/288230376151711744,True,47,0,2.036473675828708,2.0798040558679802,1.3303795676836274,1.3868802623322045,2.0364736758287143,2.0798040558679736,1.3303795676836305,1.3868802623322014,2.0361595268808212,2.1095404928917385,1.3171356693021068,1.3921592009287227,2.0361595268808403,2.1095404928917194,1.3171356693021161,1.3921592009287131
48,0.9400000000000001,0.96,0.02,270936553582609045/288230376151711744,17293822569102705/18014398509481984,True,48,0,2.0089818967232977,2.0479866821448858,1.3406281611739963,1.39420793155877,2.0089818967233035,2.04798668214488,1.3406281611739992,1.3942079315587674,2.0087002144530364,2.0779219386192036,1.326979873954551,1.3990690993065833,2.008700214453055,2.0779219386191854,1.32697987395456,1.3990690993065744
