basis,mapping,reason,status,tool
B1,sound finite-dictionary projection,,supported_experiment_adapter,torch_common_engine
B_DR,sound finite-dictionary projection,,supported_experiment_adapter,torch_common_engine
B2,sound finite-dictionary projection,,supported_experiment_adapter,torch_common_engine
B3,sound quadratic-dependency/time-lift projection,,supported_experiment_adapter,torch_common_engine
B1,TRUNCATE_TO_AFFINE=true,,supported_native,diffreach
B_DR,c/L/Lt restricted quasi-quadratic dictionary,,supported_native,diffreach
B2,unavailable,no complete total-degree-2 native dictionary,capability_gap,diffreach
B3,unavailable,no quadratic state-cross dictionary with tau lift,capability_gap,diffreach
B1,unavailable,minimum legal fixed order is 2; no exact B1 selector,capability_gap,flowstar
B_DR,unavailable,no exact restricted c/L/Lt dictionary selector,capability_gap,flowstar
B2,fixed complete order 2,,supported_native,flowstar
B3,unavailable,"order 3 is a strict cubic superset, not exact B3",capability_gap,flowstar
