lane,segment,category,median_width,maximum_width,sum_width
L0_baseline_native,1,picard_residual,9.790324977431693e-308,0.00015482076640849733,0.013715122090243727
L0_baseline_native,1,composition_overflow,4.307171269227776e-05,0.018539358587065714,0.5051483776035112
L0_baseline_native,2,picard_residual,9.790324977431693e-308,0.00015786736478991798,0.013696287609445214
L0_baseline_native,2,composition_overflow,0.00017411174536166753,0.01853935859139273,0.5731483122438621
L0_baseline_native,3,picard_residual,9.790324977431693e-308,0.00016677573243044738,0.013535784436077274
L0_baseline_native,3,composition_overflow,0.00038764540515974526,0.018539358595719743,0.6472594301598653
L0_baseline_native,4,picard_residual,9.790324977431693e-308,0.00017397190014233294,0.013235333619203886
L0_baseline_native,4,composition_overflow,0.000689147383089966,0.018539358600046758,0.7275005513600246
L0_baseline_native,5,picard_residual,9.790324977431693e-308,0.000179385354725675,0.01279834957150838
L0_baseline_native,5,composition_overflow,0.0010767927822040826,0.018539358604373772,0.8138974019657074
L0_baseline_native,6,picard_residual,9.790324977431693e-308,0.00018310789522998845,0.012243896561341533
L0_baseline_native,6,composition_overflow,0.00155058160254337,0.018539358608700787,0.9064862030165841
L0_baseline_native,7,picard_residual,9.790324977431693e-308,0.00018555311257672223,0.011603792344530529
L0_baseline_native,7,composition_overflow,0.0021105138441518518,0.0185393586130278,1.0053323371802383
L0_baseline_native,8,picard_residual,9.790324977431693e-308,0.00018632679499862529,0.010873208698377419
L0_baseline_native,8,composition_overflow,0.002756589507090064,0.018539358617354815,1.1105542102113901
L0_baseline_native,9,picard_residual,9.790324977431693e-308,0.00018633782732664829,0.010598148993082267
L0_baseline_native,9,composition_overflow,0.0034888085913869567,0.01853935862168183,1.2223374042542048
L0_baseline_native,10,picard_residual,9.790324977431693e-308,0.00018780042415334953,0.011401128104453536
L0_baseline_native,10,composition_overflow,0.0043071710970850755,0.018539358644107357,1.3414235436917508
L0_baseline_native,11,picard_residual,9.790324977431693e-308,0.0001896117735295644,0.013184576445764502
L0_baseline_native,11,composition_overflow,0.005569836672338768,0.10596119553569588,5.793907941489958
L0_baseline_native,12,picard_residual,9.790324977431693e-308,0.00018479433216952272,0.013635684703295611
L0_baseline_native,12,composition_overflow,0.00771056394554148,0.10596119554008077,6.382514217223509
L0_baseline_native,13,picard_residual,9.790324977431693e-308,0.0001781855468023664,0.01395241283998697
L0_baseline_native,13,composition_overflow,0.01083089420442532,0.10596119554446565,7.020490359843025
L0_baseline_native,14,picard_residual,9.790324977431693e-308,0.0001700198785655509,0.014147715264504108
L0_baseline_native,14,composition_overflow,0.014978191573676908,0.10596119554885051,7.708635823386697
L0_baseline_native,15,picard_residual,9.790324977431693e-308,0.00016023244336185554,0.014218002067005624
L0_baseline_native,15,composition_overflow,0.019943219894719956,0.1059611955532354,8.447839656097191
L0_baseline_native,16,picard_residual,9.790324977431693e-308,0.00016276779437364815,0.014167970308956352
L0_baseline_native,16,composition_overflow,0.025944423947752666,0.10596119555762026,9.239084887835183
L0_baseline_native,17,picard_residual,9.790324977431693e-308,0.00017230626700225524,0.014078844837506533
L0_baseline_native,17,composition_overflow,0.03274287142909085,0.10596119556200514,10.08349898675461
L0_baseline_native,18,picard_residual,9.790324977431693e-308,0.00018250594779987728,0.013980332133744545
L0_baseline_native,18,composition_overflow,0.04045527839619426,0.10596119556639001,10.982449406074679
L0_baseline_native,19,picard_residual,9.790324977431693e-308,0.00019151566627802796,0.013768223569018266
L0_baseline_native,19,composition_overflow,0.04911712537567785,0.1139044346804273,11.937464279216847
L0_baseline_native,20,picard_residual,9.790324977431693e-308,0.0001989732735520445,0.013439913814172267
L0_baseline_native,20,composition_overflow,0.0586715033084684,0.12450055424209493,12.95016278069959
L0_baseline_native,21,picard_residual,9.790324977431693e-308,0.00020535182126799273,0.012827937540982801
L0_baseline_native,21,composition_overflow,0.06981666043136049,0.2990679467245469,22.092324421645777
L0_baseline_native,22,picard_residual,9.790324977431693e-308,0.00020864474996664149,0.01219885360343967
L0_baseline_native,22,composition_overflow,0.08340800081057534,0.29906794672919396,24.066311005603577
L0_baseline_native,23,picard_residual,9.790324977431693e-308,0.00021127746242015992,0.011531508461649872
L0_baseline_native,23,composition_overflow,0.09950946206834999,0.299067946733841,26.178328439321284
L0_baseline_native,24,picard_residual,9.790324977431693e-308,0.0002143543216913267,0.011683597407736003
L0_baseline_native,24,composition_overflow,0.11805110900995239,0.2990679467384881,28.43156487989567
L0_baseline_native,25,picard_residual,9.790324977431693e-308,0.00022011471262784504,0.012738804899771536
L0_baseline_native,25,composition_overflow,0.13903294163542926,0.29906794674313514,30.8303023617219
L0_baseline_native,26,picard_residual,9.790324977431693e-308,0.00022728123722470838,0.013841896280489454
L0_baseline_native,26,composition_overflow,0.16245495994484488,0.30394132231085125,33.37950463696101
L0_baseline_native,27,picard_residual,9.790324977431693e-308,0.00024085277019884841,0.015075745186891747
L0_baseline_native,27,composition_overflow,0.18694335954334626,0.33384811699028805,36.08348831863939
L0_baseline_native,28,picard_residual,9.790324977431693e-308,0.0002593159000926095,0.01643828129020282
L0_baseline_native,28,composition_overflow,0.21329583845290007,0.36375491167025265,38.94601022735692
