rank,mode,run_kind,segment_index,t_lo,t_hi,h,target_margin_min,final_segment_width_sum,tube_prefix_width_sum,had_prior_rejection,accepted_rejected
1,range_midpoint_adaptive_h10,range_midpoint adaptive,53,1.1300531783465306,1.1910872506835912,0.061034072337060589,2.348822293214421e-08,0.24564733518684384,4.0323700420342572,false,accepted
2,range_midpoint_adaptive_h10,range_midpoint adaptive,135,4.0122069141246373,4.0491397437914918,0.036932829666854308,1.0405469784489745e-07,0.46302300766076504,9.3493834878142046,false,accepted
3,range_midpoint_adaptive_h10,range_midpoint adaptive,63,1.6469331774970029,1.7260865099637273,0.079153332466724513,7.3679614692312835e-07,0.22709179786648426,4.277821425783026,false,accepted
4,range_midpoint_adaptive_h10,range_midpoint adaptive,239,6.1368995992963571,6.1482698989146005,0.011370299618243158,7.6009076953212178e-07,2.242032790295859,9.7200514533466222,false,accepted
5,constant_adaptive_h10,constant adaptive,203,5.4536048763707532,5.4771453511216812,0.023540474750928464,9.0837879836650609e-07,0.89113122033855374,9.3638214692448969,false,accepted
6,range_midpoint_adaptive_h10,range_midpoint adaptive,126,3.7838467433693204,3.8151729935722596,0.031326250202939117,1.1069335502507068e-06,0.65273756762651025,9.3195915098120636,false,accepted
7,range_midpoint_adaptive_h10,range_midpoint adaptive,29,0.43677646366378969,0.46156254643209432,0.024786082768304608,1.3061032199940389e-06,0.79804990285581878,3.1080389736440495,false,accepted
8,range_midpoint_adaptive_h10,range_midpoint adaptive,280,6.351118215327908,6.3555406561555614,0.0044224408276537681,1.6213185542746236e-06,3.7646786462701325,10.715119591063226,false,accepted
9,range_midpoint_adaptive_h10,range_midpoint adaptive,268,6.3047981958222321,6.3104346995709957,0.0056365037487639451,1.7899743071029932e-06,3.2821380049133237,10.449671828535864,false,accepted
10,constant_adaptive_h10,constant adaptive,123,3.6015744066467761,3.6251102820809904,0.023535875434214207,2.0019740902242633e-06,0.84260669879163641,9.2127840510537737,false,accepted
