case_id,segment_index,t_lo,t_hi,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,box_source
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,0,-0,0.01,1.1000000000000001,1.4245000000000001,2.3116400000000001,2.450008,0.32450000000000001,0.13836799999999982,0.46286799999999984,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,1,0.01,0.02,1.123418,1.4486589999999999,2.27244,2.4341629999999999,0.32524099999999989,0.16172299999999984,0.48696399999999973,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,2,0.02,0.029999999999999999,1.1466620000000001,1.4724250000000001,2.2319179999999998,2.416696,0.32576300000000002,0.18477800000000011,0.51054100000000013,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,3,0.029999999999999999,0.040000000000000001,1.169718,1.4957819999999999,2.1901709999999999,2.3976090000000001,0.32606399999999991,0.20743800000000023,0.53350200000000014,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,4,0.040000000000000001,0.050000000000000003,1.192572,1.5187170000000001,2.1472790000000002,2.3769089999999999,0.32614500000000013,0.22962999999999978,0.55577499999999991,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,5,0.050000000000000003,0.059999999999999998,1.215211,1.5412140000000001,2.103326,2.3546100000000001,0.32600300000000004,0.25128400000000006,0.57728700000000011,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,6,0.059999999999999998,0.070000000000000007,1.2376210000000001,1.563261,2.0583999999999998,2.33073,0.32563999999999993,0.27233000000000018,0.59797000000000011,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,7,0.070000000000000007,0.080000000000000002,1.2597879999999999,1.5848450000000001,2.012591,2.3052929999999998,0.32505700000000015,0.2927019999999998,0.61775899999999995,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,8,0.080000000000000002,0.089999999999999997,1.2817000000000001,1.605955,1.965989,2.2783280000000001,0.32425499999999996,0.31233900000000014,0.6365940000000001,flowstar_gnuplot_segment
flowstar_rem1e-4_cut1e-10_h0p01_s10_o4,9,0.089999999999999997,0.10000000000000001,1.3033429999999999,1.6265810000000001,1.9186859999999999,2.24987,0.32323800000000014,0.33118400000000014,0.65442200000000028,flowstar_gnuplot_segment
