stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
initial_remainder_picard,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:822:_zero_exact_held_remainder,[[]],18,18,18,7.1146245059288535
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3062:_sound_mul_tm,[[]],13,13,13,5.138339920948616
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3168:sin_tm,[[]],13,13,13,5.138339920948616
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:3062:_sound_mul_tm,[[]],2,2,2,0.7905138339920948
affine_composition,src/torch_tm_flowpipe/tora_q3.py:193:compose_tora_q3_tm,[[]],2,2,2,0.7905138339920948
full_q3_step,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],2,2,2,0.7905138339920948
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:100:dense_validation_batch,[[]],1,1,1,0.3952569169960474
composed_acceptance_property_decision,src/torch_tm_flowpipe/tora_q3.py:356:compose_tora_q3_step,[[]],1,1,1,0.3952569169960474
final_acceptance_property_decision,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,[[]],1,1,1,0.3952569169960474
